GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0009201	ribonucleoside triphosphate biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0007229	integrin-mediated signaling pathway	biological_process	1E0		lcl|c243429_g2_i2|m.30976	
GO:0009205	purine ribonucleoside triphosphate metabolic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:1901360	organic cyclic compound metabolic process	biological_process	1E0		lcl|c218223_g3_i1|m.5642,lcl|c234041_g5_i1|m.19364,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612	
GO:1901362	organic cyclic compound biosynthetic process	biological_process	1E0		lcl|c234041_g5_i1|m.19364,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612	
GO:0048878	chemical homeostasis	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0098771	inorganic ion homeostasis	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0006139	nucleobase-containing compound metabolic process	biological_process	1E0		lcl|c218223_g3_i1|m.5642,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612	
GO:0051604	protein maturation	biological_process	1E0		lcl|c231430_g2_i12|m.16236	
GO:0008150	biological_process	biological_process	1E0		lcl|c235901_g3_i2|m.21452,lcl|c222555_g2_i4|m.8428,lcl|c218223_g3_i1|m.5642,lcl|c243429_g2_i2|m.30976,lcl|c223345_g3_i1|m.9044,lcl|c229310_g3_i5|m.14143,lcl|c242974_g2_i1|m.30459,lcl|c223351_g1_i1|m.9046,lcl|c228611_g7_i1|m.13463,lcl|c227188_g1_i3|m.12224,lcl|c238399_g3_i5|m.24485,lcl|c231430_g2_i12|m.16236,lcl|c238399_g3_i3|m.24484,lcl|c216650_g2_i1|m.4697,lcl|c232541_g3_i1|m.17498,lcl|c234041_g5_i1|m.19364,lcl|c240692_g2_i1|m.27612,lcl|c228728_g1_i4|m.13597	
GO:0006163	purine nucleotide metabolic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0006694	steroid biosynthetic process	biological_process	1E0		lcl|c234041_g5_i1|m.19364	
GO:0006790	sulfur compound metabolic process	biological_process	1E0		lcl|c227188_g1_i3|m.12224	
GO:0042278	purine nucleoside metabolic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0010817	regulation of hormone levels	biological_process	1E0		lcl|c231430_g2_i12|m.16236	
GO:0015672	monovalent inorganic cation transport	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0006164	purine nucleotide biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0046128	purine ribonucleoside metabolic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0046129	purine ribonucleoside biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0009259	ribonucleotide metabolic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0009260	ribonucleotide biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14143	
GO:0051639	actin filament network formation	biological_process	1E0		lcl|c222555_g2_i4|m.8428	
GO:0006725	cellular aromatic compound metabolic process	biological_process	1E0		lcl|c218223_g3_i1|m.5642,lcl|c229310_g3_i5|m.14143,lcl|c240692_g2_i1|m.27612	
