GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0006119	oxidative phosphorylation	biological_process	1E0		lcl|c220936_g1_i1|m.7247	
GO:0031328	positive regulation of cellular biosynthetic process	biological_process	1E0		lcl|c223077_g2_i1|m.8858	
GO:0031329	regulation of cellular catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c223433_g6_i1|m.9115	
GO:0031331	positive regulation of cellular catabolic process	biological_process	1E0		lcl|c223425_g3_i3|m.9106,lcl|c223433_g6_i1|m.9115	
GO:0031333	negative regulation of protein complex assembly	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0031334	positive regulation of protein complex assembly	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0045454	cell redox homeostasis	biological_process	1E0		lcl|c243086_g4_i2|m.30593	
GO:0022900	electron transport chain	biological_process	1E0		lcl|c235743_g4_i1|m.21296,lcl|c220936_g1_i1|m.7247	
GO:1901879	regulation of protein depolymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:1901880	negative regulation of protein depolymerization	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0006139	nucleobase-containing compound metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c225931_g4_i1|m.11061,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:0051604	protein maturation	biological_process	1E0		lcl|c225618_g2_i6|m.10783	
GO:0045010	actin nucleation	biological_process	1E0		lcl|c221753_g3_i7|m.7844	
GO:0006163	purine nucleotide metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:0042278	purine nucleoside metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0015672	monovalent inorganic cation transport	biological_process	1E0		lcl|c235743_g4_i1|m.21296,lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0006164	purine nucleotide biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0032446	protein modification by small protein conjugation	biological_process	1E0		lcl|c228448_g3_i1|m.13331	
GO:0046128	purine ribonucleoside metabolic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247	
GO:0046129	purine ribonucleoside biosynthetic process	biological_process	1E0		lcl|c210226_g1_i1|m.2139,lcl|c231281_g6_i3|m.16097	
GO:0051641	cellular localization	biological_process	1E0		lcl|c225394_g4_i2|m.10584,lcl|c217645_g1_i1|m.5302,lcl|c224534_g1_i4|m.9895,lcl|c235722_g2_i1|m.21267,lcl|c225618_g2_i6|m.10783	
GO:0008152	metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c235743_g4_i1|m.21296,lcl|c221356_g3_i2|m.7588,lcl|c219556_g4_i5|m.6447,lcl|c238372_g5_i2|m.24429,lcl|c211022_g1_i7|m.2328,lcl|c216377_g1_i3|m.4559,lcl|c210226_g1_i1|m.2139,lcl|c243349_g1_i4|m.30872,lcl|c236134_g1_i2|m.21741,lcl|c209946_g1_i6|m.2078,lcl|c237832_g1_i6|m.23803,lcl|c218481_g4_i6|m.5811,lcl|c223433_g6_i1|m.9115,lcl|c214652_g1_i3|m.3567,lcl|c228038_g3_i1|m.12994,lcl|c242193_g2_i1|m.29501,lcl|c205368_g1_i5|m.1453,lcl|c222929_g2_i3|m.8717,lcl|c243222_g3_i1|m.30722,lcl|c238111_g1_i1|m.24102,lcl|c243149_g1_i2|m.30670,lcl|c243086_g4_i2|m.30593,lcl|c223205_g4_i1|m.8934,lcl|c217573_g1_i1|m.5252,lcl|c244151_g1_i2|m.31813,lcl|c230039_g1_i2|m.14881,lcl|c223247_g3_i6|m.8971,lcl|c229060_g1_i1|m.13927,lcl|c243506_g1_i6|m.31041,lcl|c224289_g1_i1|m.9705,lcl|c238919_g4_i6|m.25079,lcl|c237215_g1_i1|m.23031,lcl|c226769_g3_i1|m.11767,lcl|c225618_g2_i6|m.10783,lcl|c220936_g1_i1|m.7247,lcl|c242894_g3_i1|m.30343,lcl|c223077_g2_i1|m.8858,lcl|c218119_g1_i3|m.5570,lcl|c223425_g3_i3|m.9106,lcl|c210724_g2_i1|m.2253,lcl|c225931_g4_i1|m.11061,lcl|c229881_g6_i6|m.14719,lcl|c216702_g5_i1|m.4730,lcl|c218703_g1_i4|m.5907,lcl|c218820_g4_i2|m.5974,lcl|c226009_g3_i5|m.11131,lcl|c228448_g3_i1|m.13331,lcl|c231281_g6_i3|m.16097,lcl|c221482_g1_i3|m.7664	
GO:0051649	establishment of localization in cell	biological_process	1E0		lcl|c217645_g1_i1|m.5302,lcl|c224534_g1_i4|m.9895,lcl|c235722_g2_i1|m.21267,lcl|c225618_g2_i6|m.10783	
GO:0016192	vesicle-mediated transport	biological_process	1E0		lcl|c217645_g1_i1|m.5302,lcl|c224534_g1_i4|m.9895,lcl|c235722_g2_i1|m.21267	
GO:0007165	signal transduction	biological_process	1E0		lcl|c244151_g1_i2|m.31813	
