GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0007229	integrin-mediated signaling pathway	biological_process	1E0		lcl|c243429_g2_i2|m.30976	
GO:1901360	organic cyclic compound metabolic process	biological_process	1E0		lcl|c235079_g5_i3|m.20543,lcl|c218223_g3_i1|m.5642,lcl|c240692_g2_i1|m.27612	
GO:1901362	organic cyclic compound biosynthetic process	biological_process	1E0		lcl|c240692_g2_i1|m.27612	
GO:0006139	nucleobase-containing compound metabolic process	biological_process	1E0		lcl|c235079_g5_i3|m.20543,lcl|c218223_g3_i1|m.5642,lcl|c240692_g2_i1|m.27612	
GO:0044085	cellular component biogenesis	biological_process	1E0		lcl|c240692_g2_i1|m.27612	
GO:0008150	biological_process	biological_process	1E0		lcl|c222399_g1_i2|m.8304,lcl|c218872_g2_i3|m.6012,lcl|c221608_g1_i1|m.7755,lcl|c235446_g2_i1|m.20934,lcl|c226739_g4_i2|m.11743,lcl|c218223_g3_i1|m.5642,lcl|c243429_g2_i2|m.30976,lcl|c222937_g2_i3|m.8724,lcl|c242974_g2_i1|m.30459,lcl|c237211_g6_i4|m.23025,lcl|c228611_g7_i1|m.13463,lcl|c205713_g1_i1|m.1484,lcl|c222419_g1_i6|m.8316,lcl|c235079_g5_i3|m.20543,lcl|c227069_g2_i12|m.12102,lcl|c235769_g7_i2|m.21324,lcl|c215492_g2_i9|m.4058,lcl|c240692_g2_i1|m.27612	
GO:0051336	regulation of hydrolase activity	biological_process	1E0		lcl|c237211_g6_i4|m.23025	
GO:0006144	purine nucleobase metabolic process	biological_process	1E0		lcl|c235079_g5_i3|m.20543	
GO:0006163	purine nucleotide metabolic process	biological_process	1E0		lcl|c235079_g5_i3|m.20543	
GO:0007264	small GTPase mediated signal transduction	biological_process	1E0		lcl|c222399_g1_i2|m.8304	
GO:0019637	organophosphate metabolic process	biological_process	1E0		lcl|c235079_g5_i3|m.20543	
GO:0070727	cellular macromolecule localization	biological_process	1E0		lcl|c218872_g2_i3|m.6012	
GO:0006996	organelle organization	biological_process	1E0		lcl|c215492_g2_i9|m.4058,lcl|c240692_g2_i1|m.27612	
GO:0023052	signaling	biological_process	1E0		lcl|c222399_g1_i2|m.8304,lcl|c243429_g2_i2|m.30976,lcl|c222937_g2_i3|m.8724,lcl|c237211_g6_i4|m.23025	
GO:0006461	protein complex assembly	biological_process	1E0		lcl|c240692_g2_i1|m.27612	
GO:0051641	cellular localization	biological_process	1E0		lcl|c218872_g2_i3|m.6012	
GO:0006725	cellular aromatic compound metabolic process	biological_process	1E0		lcl|c235079_g5_i3|m.20543,lcl|c218223_g3_i1|m.5642,lcl|c240692_g2_i1|m.27612	
