GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0065004	protein-DNA complex assembly	biological_process	6.49E-2		lcl|c234380_g5_i3|m.19780,lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:0031497	chromatin assembly	biological_process	6.49E-2		lcl|c234380_g5_i3|m.19780,lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:0006323	DNA packaging	biological_process	6.49E-2		lcl|c234380_g5_i3|m.19780,lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:0071824	protein-DNA complex subunit organization	biological_process	6.49E-2		lcl|c234380_g5_i3|m.19780,lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:0006333	chromatin assembly or disassembly	biological_process	6.49E-2		lcl|c234380_g5_i3|m.19780,lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:0006334	nucleosome assembly	biological_process	6.49E-2		lcl|c234380_g5_i3|m.19780,lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:0034728	nucleosome organization	biological_process	6.49E-2		lcl|c234380_g5_i3|m.19780,lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:0006325	chromatin organization	biological_process	1.57E-1		lcl|c235901_g3_i2|m.21452,lcl|c234380_g5_i3|m.19780,lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:0006352	DNA-templated transcription, initiation	biological_process	4.7E-1		lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:0007154	cell communication	biological_process	7.15E-1		lcl|c237814_g2_i3|m.23786,lcl|c222399_g1_i2|m.8304,lcl|c244489_g1_i1|m.32283,lcl|c222155_g2_i2|m.8140,lcl|c244151_g1_i2|m.31813,lcl|c229904_g1_i2|m.14752,lcl|c243429_g2_i2|m.30976,lcl|c222937_g2_i3|m.8724,lcl|c233431_g1_i6|m.18546,lcl|c237211_g6_i4|m.23025,lcl|c228940_g3_i1|m.13807	
GO:0009201	ribonucleoside triphosphate biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14142	
GO:0007229	integrin-mediated signaling pathway	biological_process	1E0		lcl|c229904_g1_i2|m.14752,lcl|c243429_g2_i2|m.30976,lcl|c228940_g3_i1|m.13807	
GO:0009205	purine ribonucleoside triphosphate metabolic process	biological_process	1E0		lcl|c215316_g1_i1|m.3942,lcl|c229310_g3_i5|m.14142	
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14142	
GO:0007155	cell adhesion	biological_process	1E0		lcl|c243085_g1_i3|m.30591	
GO:1901360	organic cyclic compound metabolic process	biological_process	1E0		lcl|c235079_g5_i3|m.20543,lcl|c218223_g3_i1|m.5642,lcl|c215316_g1_i1|m.3942,lcl|c229310_g3_i5|m.14142,lcl|c224371_g5_i1|m.9765,lcl|c234041_g5_i1|m.19364,lcl|c217341_g1_i2|m.5116,lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:1901362	organic cyclic compound biosynthetic process	biological_process	1E0		lcl|c229310_g3_i5|m.14142,lcl|c224371_g5_i1|m.9765,lcl|c234041_g5_i1|m.19364,lcl|c240692_g2_i1|m.27612,lcl|c202472_g1_i1|m.1259	
GO:0048878	chemical homeostasis	biological_process	1E0		lcl|c229310_g3_i5|m.14142	
GO:0098771	inorganic ion homeostasis	biological_process	1E0		lcl|c229310_g3_i5|m.14142	
