GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0031328	positive regulation of cellular biosynthetic process	biological_process	1E0		lcl|c223077_g2_i1|m.8858	
GO:0031333	negative regulation of protein complex assembly	biological_process	1E0		lcl|c216621_g3_i1|m.4676	
GO:0045454	cell redox homeostasis	biological_process	1E0		lcl|c227562_g6_i1|m.12582,lcl|c227332_g2_i2|m.12341,lcl|c219883_g1_i2|m.6624,lcl|c236035_g1_i2|m.21599	
GO:0022900	electron transport chain	biological_process	1E0		lcl|c236035_g1_i2|m.21599	
GO:0051604	protein maturation	biological_process	1E0		lcl|c242793_g1_i1|m.30227	
GO:0006139	nucleobase-containing compound metabolic process	biological_process	1E0		lcl|c243614_g4_i2|m.31123,lcl|c224026_g2_i4|m.9562,lcl|c223247_g3_i6|m.8971,lcl|c221189_g3_i1|m.7459,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097,lcl|c239610_g1_i3|m.26053	
GO:0006790	sulfur compound metabolic process	biological_process	1E0		lcl|c227537_g2_i4|m.12549,lcl|c227188_g1_i1|m.12222,lcl|c221189_g3_i1|m.7459	
GO:0006163	purine nucleotide metabolic process	biological_process	1E0		lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097	
GO:0042278	purine nucleoside metabolic process	biological_process	1E0		lcl|c221189_g3_i1|m.7459,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097	
GO:0015669	gas transport	biological_process	1E0		lcl|c234446_g3_i2|m.19850	
GO:0015671	oxygen transport	biological_process	1E0		lcl|c234446_g3_i2|m.19850	
GO:0015672	monovalent inorganic cation transport	biological_process	1E0		lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097	
GO:0035567	non-canonical Wnt signaling pathway	biological_process	1E0		lcl|c236174_g2_i1|m.21787	
GO:0006164	purine nucleotide biosynthetic process	biological_process	1E0		lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097	
GO:0046128	purine ribonucleoside metabolic process	biological_process	1E0		lcl|c221189_g3_i1|m.7459,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097	
GO:0046129	purine ribonucleoside biosynthetic process	biological_process	1E0		lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097	
GO:0051641	cellular localization	biological_process	1E0		lcl|c227322_g4_i4|m.12336,lcl|c218374_g4_i1|m.5754,lcl|c216621_g3_i1|m.4676	
GO:0008152	metabolic process	biological_process	1E0		lcl|c212126_g1_i2|m.2626,lcl|c221356_g3_i2|m.7588,lcl|c216377_g1_i3|m.4559,lcl|c243349_g1_i4|m.30872,lcl|c232133_g1_i5|m.17039,lcl|c234789_g3_i1|m.20259,lcl|c227537_g2_i4|m.12549,lcl|c227562_g6_i1|m.12582,lcl|c240264_g4_i5|m.26985,lcl|c214032_g1_i4|m.3331,lcl|c224026_g2_i4|m.9562,lcl|c239210_g2_i1|m.25440,lcl|c233449_g1_i1|m.18576,lcl|c242193_g2_i1|m.29501,lcl|c242793_g1_i1|m.30227,lcl|c230880_g3_i5|m.15737,lcl|c217573_g1_i1|m.5252,lcl|c223205_g4_i1|m.8934,lcl|c212026_g3_i1|m.2608,lcl|c238662_g3_i6|m.24778,lcl|c223247_g3_i6|m.8971,lcl|c231559_g1_i5|m.16408,lcl|c221189_g3_i1|m.7459,lcl|c236174_g2_i1|m.21787,lcl|c230862_g3_i1|m.15714,lcl|c239610_g1_i3|m.26053,lcl|c236035_g1_i2|m.21599,lcl|c236087_g2_i1|m.21666,lcl|c224042_g7_i2|m.9570,lcl|c238919_g4_i6|m.25079,lcl|c237215_g1_i1|m.23031,lcl|c226769_g3_i1|m.11767,lcl|c223077_g2_i1|m.8858,lcl|c226216_g1_i2|m.11298,lcl|c227188_g1_i1|m.12222,lcl|c233767_g1_i3|m.18989,lcl|c241174_g2_i10|m.28286,lcl|c229881_g6_i6|m.14719,lcl|c218703_g1_i4|m.5907,lcl|c238826_g2_i1|m.24957,lcl|c216953_g1_i3|m.4865,lcl|c239860_g1_i2|m.26443,lcl|c218820_g4_i2|m.5974,lcl|c222306_g8_i4|m.8236,lcl|c231931_g2_i1|m.16792,lcl|c243614_g4_i2|m.31123,lcl|c225015_g2_i1|m.10306,lcl|c201141_g1_i1|m.1178,lcl|c214108_g4_i4|m.3369,lcl|c231281_g6_i3|m.16097,lcl|c227206_g2_i7|m.12247	
GO:0031399	regulation of protein modification process	biological_process	1E0		lcl|c227322_g4_i4|m.12336	
GO:0051649	establishment of localization in cell	biological_process	1E0		lcl|c227322_g4_i4|m.12336,lcl|c218374_g4_i1|m.5754	
GO:0031401	positive regulation of protein modification process	biological_process	1E0		lcl|c227322_g4_i4|m.12336	
GO:0051651	maintenance of location in cell	biological_process	1E0		lcl|c216621_g3_i1|m.4676	
GO:0016192	vesicle-mediated transport	biological_process	1E0		lcl|c218374_g4_i1|m.5754	
GO:0007165	signal transduction	biological_process	1E0		lcl|c236174_g2_i1|m.21787	
GO:0007010	cytoskeleton organization	biological_process	1E0		lcl|c231859_g5_i5|m.16713,lcl|c224201_g3_i8|m.9658,lcl|c220300_g3_i1|m.6859	
GO:0065003	macromolecular complex assembly	biological_process	1E0		lcl|c218820_g4_i2|m.5974	
GO:0065007	biological regulation	biological_process	1E0		lcl|c227562_g6_i1|m.12582,lcl|c227322_g4_i4|m.12336,lcl|c227332_g2_i2|m.12341,lcl|c219883_g1_i2|m.6624,lcl|c233818_g2_i6|m.19032,lcl|c216621_g3_i1|m.4676,lcl|c242001_g1_i2|m.29236,lcl|c236174_g2_i1|m.21787,lcl|c236035_g1_i2|m.21599,lcl|c223077_g2_i1|m.8858	
