"","Row.names","X2018_MARCH_12_CORAL_JAA_01_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_03_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_04_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_05_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_06_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_07_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_08_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_09_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_10_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_11_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_12_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_13_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_14_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_15_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_16_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_17_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_19_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_20_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_21_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_22_NUMSPECSTOT","PROTLEN"
"1","ALBU_BOVIN",34,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,607
"2","CAS1_BOVIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,214
"3","CASB_BOVIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,224
"4","CYC_HUMAN",3,1,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,2,104
"5","K1C10_HUMAN",13,3,2,11,1,2,25,2,3,1,5,4,5,5,8,0,5,6,1,6,593
"6","K1C15_SHEEP",2,0,0,0,0,0,6,0,2,0,2,1,0,0,0,0,2,1,0,0,453
"7","K1C9_HUMAN",3,0,0,16,0,1,9,1,1,1,0,1,0,4,1,1,1,1,1,1,623
"8","K1M1_SHEEP",2,0,0,0,0,0,2,0,3,0,1,1,0,0,0,0,4,1,0,0,412
"9","K22E_HUMAN",11,4,2,9,4,2,10,1,3,2,4,4,6,5,6,3,5,6,2,6,645
"10","K2C1_HUMAN",12,4,1,15,9,5,22,6,8,7,7,11,9,12,8,10,11,9,9,12,643
"11","K2M2_SHEEP",0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,9,0,0,0,491
"12","KRA3_SHEEP",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,131
"13","lcl|c129535_g1_i1|m.155",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,581
"14","lcl|c141061_g1_i1|m.229",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,1,205
