PROTID,PROTLEN,ISFWD,DEFLINE,NUMXML,ALL_ID,MAXPW,ALL_PW,ALL_LOCALPW,MAXINIPROB,WT_MAXINIPROB,MAXINIPROBUNIQ,ALL_NUMPEPSTOT,ALL_NUMPEPSUNIQ,ALL_NUMSPECSTOT,ALL_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_23_ID,X2018_MARCH_12_CORAL_JAA_23_PW,X2018_MARCH_12_CORAL_JAA_23_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_23_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_23_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_23_TOTNSAF,X2018_MARCH_12_CORAL_JAA_23_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_23_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_23_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_23_ADJNSAF,X2018_MARCH_12_CORAL_JAA_24_ID,X2018_MARCH_12_CORAL_JAA_24_PW,X2018_MARCH_12_CORAL_JAA_24_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_24_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_24_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_24_TOTNSAF,X2018_MARCH_12_CORAL_JAA_24_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_24_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_24_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_24_ADJNSAF,X2018_MARCH_12_CORAL_JAA_25_ID,X2018_MARCH_12_CORAL_JAA_25_PW,X2018_MARCH_12_CORAL_JAA_25_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_25_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_25_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_25_TOTNSAF,X2018_MARCH_12_CORAL_JAA_25_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_25_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_25_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_25_ADJNSAF,X2018_MARCH_12_CORAL_JAA_26_ID,X2018_MARCH_12_CORAL_JAA_26_PW,X2018_MARCH_12_CORAL_JAA_26_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_26_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_26_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_26_TOTNSAF,X2018_MARCH_12_CORAL_JAA_26_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_26_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_26_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_26_ADJNSAF,X2018_MARCH_12_CORAL_JAA_27_ID,X2018_MARCH_12_CORAL_JAA_27_PW,X2018_MARCH_12_CORAL_JAA_27_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_27_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_27_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_27_TOTNSAF,X2018_MARCH_12_CORAL_JAA_27_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_27_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_27_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_27_ADJNSAF,X2018_MARCH_12_CORAL_JAA_29_ID,X2018_MARCH_12_CORAL_JAA_29_PW,X2018_MARCH_12_CORAL_JAA_29_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_29_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_29_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_29_TOTNSAF,X2018_MARCH_12_CORAL_JAA_29_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_29_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_29_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_29_ADJNSAF,X2018_MARCH_12_CORAL_JAA_30_ID,X2018_MARCH_12_CORAL_JAA_30_PW,X2018_MARCH_12_CORAL_JAA_30_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_30_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_30_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_30_TOTNSAF,X2018_MARCH_12_CORAL_JAA_30_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_30_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_30_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_30_ADJNSAF,X2018_MARCH_12_CORAL_JAA_31_ID,X2018_MARCH_12_CORAL_JAA_31_PW,X2018_MARCH_12_CORAL_JAA_31_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_31_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_31_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_31_TOTNSAF,X2018_MARCH_12_CORAL_JAA_31_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_31_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_31_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_31_ADJNSAF,X2018_MARCH_22_JPG_CORAL_05_ID,X2018_MARCH_22_JPG_CORAL_05_PW,X2018_MARCH_22_JPG_CORAL_05_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_05_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_05_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_05_TOTNSAF,X2018_MARCH_22_JPG_CORAL_05_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_05_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_05_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_05_ADJNSAF,X2018_MARCH_22_JPG_CORAL_06_ID,X2018_MARCH_22_JPG_CORAL_06_PW,X2018_MARCH_22_JPG_CORAL_06_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_06_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_06_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_06_TOTNSAF,X2018_MARCH_22_JPG_CORAL_06_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_06_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_06_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_06_ADJNSAF,X2018_MARCH_22_JPG_CORAL_07_ID,X2018_MARCH_22_JPG_CORAL_07_PW,X2018_MARCH_22_JPG_CORAL_07_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_07_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_07_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_07_TOTNSAF,X2018_MARCH_22_JPG_CORAL_07_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_07_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_07_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_07_ADJNSAF,X2018_MARCH_22_JPG_CORAL_08_ID,X2018_MARCH_22_JPG_CORAL_08_PW,X2018_MARCH_22_JPG_CORAL_08_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_08_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_08_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_08_TOTNSAF,X2018_MARCH_22_JPG_CORAL_08_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_08_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_08_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_08_ADJNSAF,X2018_MARCH_22_JPG_CORAL_09_ID,X2018_MARCH_22_JPG_CORAL_09_PW,X2018_MARCH_22_JPG_CORAL_09_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_09_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_09_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_09_TOTNSAF,X2018_MARCH_22_JPG_CORAL_09_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_09_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_09_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_09_ADJNSAF,X2018_MARCH_22_JPG_CORAL_10_ID,X2018_MARCH_22_JPG_CORAL_10_PW,X2018_MARCH_22_JPG_CORAL_10_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_10_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_10_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_10_TOTNSAF,X2018_MARCH_22_JPG_CORAL_10_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_10_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_10_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_10_ADJNSAF,X2018_MARCH_22_JPG_CORAL_14_ID,X2018_MARCH_22_JPG_CORAL_14_PW,X2018_MARCH_22_JPG_CORAL_14_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_14_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_14_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_14_TOTNSAF,X2018_MARCH_22_JPG_CORAL_14_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_14_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_14_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_14_ADJNSAF,X2018_MARCH_22_JPG_CORAL_15_ID,X2018_MARCH_22_JPG_CORAL_15_PW,X2018_MARCH_22_JPG_CORAL_15_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_15_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_15_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_15_TOTNSAF,X2018_MARCH_22_JPG_CORAL_15_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_15_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_15_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_15_ADJNSAF,X2018_MARCH_22_JPG_CORAL_16_ID,X2018_MARCH_22_JPG_CORAL_16_PW,X2018_MARCH_22_JPG_CORAL_16_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_16_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_16_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_16_TOTNSAF,X2018_MARCH_22_JPG_CORAL_16_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_16_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_16_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_16_ADJNSAF,X2018_MARCH_22_JPG_CORAL_17_ID,X2018_MARCH_22_JPG_CORAL_17_PW,X2018_MARCH_22_JPG_CORAL_17_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_17_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_17_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_17_TOTNSAF,X2018_MARCH_22_JPG_CORAL_17_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_17_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_17_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_17_ADJNSAF,X2018_MARCH_22_JPG_CORAL_18_ID,X2018_MARCH_22_JPG_CORAL_18_PW,X2018_MARCH_22_JPG_CORAL_18_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_18_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_18_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_18_TOTNSAF,X2018_MARCH_22_JPG_CORAL_18_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_18_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_18_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_18_ADJNSAF,X2018_MARCH_22_JPG_CORAL_19_ID,X2018_MARCH_22_JPG_CORAL_19_PW,X2018_MARCH_22_JPG_CORAL_19_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_19_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_19_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_19_TOTNSAF,X2018_MARCH_22_JPG_CORAL_19_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_19_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_19_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_19_ADJNSAF
lcl|c143056_g1_i1|m.250,150,1,lcl c143056_g1_i1 g.250  ORF lcl c143056_g1_i1 g.250 lcl c143056_g1_i1 m.250 type:3prime_partial len:151 (+) lcl c143056_g1_i1:100-549(+),5,1-a,1,1,1,0.999,1,0.999,6,6,8,8,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,789-a,0.9719,1,1,1,21.6119,1,23.6606,1,24.1856,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,885-a,0.6863,1,1,1,21.3641,1,23.3152,1,23.6884,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c182463_g1_i1|m.663,145,1,lcl c182463_g1_i1 g.663  ORF lcl c182463_g1_i1 g.663 lcl c182463_g1_i1 m.663 type:complete len:145 (+) lcl c182463_g1_i1:115-549(+),38,10-a,1,1,1,0.999,1,0.999,7,7,69,69,583-a,0.9996,2,2,2,48.8448,2,53.659,2,55.2017,614-a,0.9911,1,1,1,23.1058,1,27.7602,1,26.887,4-a,1,3,3,3,67.0715,3,73.4294,3,75.0587,5-a,1,2,2,2,38.9265,2,42.7387,2,43.7965,4-a,1,2,2,2,48.2024,2,53.3826,2,55.7226,5-a,1,3,3,4,94.0257,4,103.7954,4,106.3639,4-a,1,4,4,4,88.4033,4,96.4768,4,98.0209,1060-a,0.225,1,1,1,26.4716,1,31.3383,1,30.5912,4-a,1,2,2,2,53.0725,2,58.1702,2,61.3468,2-a,1,4,4,4,109.4008,4,120.5729,4,123.2314,762-a,0.9854,1,1,1,24.4128,1,27.0282,1,27.3272,532-a,0.9999,2,2,2,49.7296,2,54.5742,2,55.4138,617-a,0.9921,1,1,1,26.2723,1,29.0561,1,29.7833,null,0,0,0,0,0,0,0,0,0,552-a,0.9915,1,1,1,28.4115,1,33.4045,1,32.5488,3-a,1,2,2,2,59.0362,2,70.9381,2,68.7176,null,0,0,0,0,0,0,0,0,0,861-a,0.9909,1,1,1,23.8946,1,27.7124,1,27.1673,667-a,0.9882,1,1,1,28.555,1,31.4142,1,32.6059,4-a,1,3,3,3,70.4762,3,76.7283,3,78.3687
lcl|c211604_g1_i1|m.2470,229,1,lcl c211604_g1_i1 g.2470  ORF lcl c211604_g1_i1 g.2470 lcl c211604_g1_i1 m.2470 type:complete len:229 (+) lcl c211604_g1_i1:32-718(+),12,100-a,1,1,1,0.999,1,0.999,5,5,13,13,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c242089_g1_i1|m.29373,335,1,lcl c242089_g1_i1 g.29373  ORF lcl c242089_g1_i1 g.29373 lcl c242089_g1_i1 m.29373 type:5prime_partial len:335 (+) lcl c242089_g1_i1:3-1007(+),57,1000-a,1,1,1,0.999,1,0.999,21,21,327,327,359-a,1,4,4,5,52.8545,5,58.0638,5,59.7331,342-a,1,8,8,11,110.011,11,132.1719,11,128.0142,346-a,1,4,4,5,48.3849,5,52.9715,5,54.1468,443-a,1,6,6,8,67.3952,8,73.9954,8,75.8267,316-a,1,5,5,6,62.5911,6,69.3177,6,72.3562,335-a,1,3,3,3,30.5233,3,33.6948,3,34.5286,335-a,1,3,3,4,38.2641,4,41.7586,4,42.427,320-a,1,5,5,6,68.7471,6,81.3861,6,79.4458,289-a,1,3,3,4,45.9434,4,50.3563,4,53.1062,362-a,1,5,5,5,59.1907,5,65.2354,5,66.6737,353-a,1,5,5,6,63.4003,6,70.1926,6,70.969,339-a,1,6,6,6,64.5743,6,70.865,6,71.9552,338-a,1,8,8,10,113.7157,10,125.7653,10,128.913,299-a,1,7,7,7,78.1465,7,85.6082,7,87.0052,297-a,1,4,4,4,49.1901,4,57.8347,4,56.3532,274-a,1,5,5,6,76.659,6,92.1136,6,89.2303,362-a,1,5,5,5,57.827,5,68.7658,5,66.9463,407-a,1,5,5,6,62.0547,6,71.9695,6,70.554,303-a,1,5,5,7,86.5174,7,95.1802,7,98.7911,346-a,1,4,4,4,40.6728,4,44.281,4,45.2277
lcl|c242138_g5_i6|m.29443,1858,1,lcl c242138_g5_i6 g.29443  ORF lcl c242138_g5_i6 g.29443 lcl c242138_g5_i6 m.29443 type:3prime_partial len:1859 (+) lcl c242138_g5_i6:634-6207(+),9,1001-a,0.9997,1,1,0.991,1,0.991,4,4,15,15,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1813-a,0,1,1,1,1.7248,1,1.8823,1,1.9124,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c242139_g4_i2|m.29446,236,1,lcl c242139_g4_i2 g.29446  ORF lcl c242139_g4_i2 g.29446 lcl c242139_g4_i2 m.29446 type:complete len:236 (+) lcl c242139_g4_i2:183-890(+),53,1002-a,1,1,1,0.999,1,0.999,19,19,159,159,360-a,1,2,2,2,30.0106,2,32.9684,2,33.9163,343-a,1,2,2,3,42.589,3,51.1682,3,49.5586,681-a,0.99,1,1,1,13.7364,1,15.0385,1,15.3722,841-a,0.9882,1,1,1,11.9584,1,13.1295,1,13.4544,317-a,1,3,3,4,59.2317,4,65.5973,4,68.4727,970-a,0.341,1,1,1,14.4425,1,15.9432,1,16.3377,336-a,1,3,3,3,40.7367,3,44.457,3,45.1685,321-a,1,4,4,4,65.0573,4,77.0179,4,75.1818,622-a,0.9914,1,1,1,16.3041,1,17.8701,1,18.846,null,0,0,0,0,0,0,0,0,0,354-a,1,2,2,2,29.9987,2,33.2126,2,33.58,340-a,1,3,3,3,45.8313,3,50.2961,3,51.0699,339-a,1,2,2,2,32.2837,2,35.7046,2,36.5982,null,0,0,0,0,0,0,0,0,0,298-a,1,2,2,2,34.9125,2,41.0479,2,39.9964,275-a,1,3,3,3,54.4084,3,65.3772,3,63.3308,723-a,0.9914,1,1,1,16.417,1,19.5225,1,19.0059,408-a,1,5,5,5,73.4051,5,85.1334,5,83.459,304-a,1,2,2,2,35.0888,2,38.6021,2,40.0666,347-a,1,3,3,3,43.301,3,47.1424,3,48.1503
lcl|c242185_g2_i2|m.29491,1452,1,lcl c242185_g2_i2 g.29491  ORF lcl c242185_g2_i2 g.29491 lcl c242185_g2_i2 m.29491 type:5prime_partial len:1452 (+) lcl c242185_g2_i2:3-4358(+),26,1003-a,1,1,1,0.999,1,0.999,14,14,50,50,361-a,1,6,6,6,14.6333,6,16.0755,6,16.5377,705-a,0.9911,1,1,1,2.3074,1,2.7722,1,2.685,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,814-a,0.9287,1,1,1,2.3474,1,2.5913,1,2.6554,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,363-a,1,2,2,2,5.4625,2,6.0203,2,6.1531,810-a,0.9735,1,1,1,2.4379,1,2.6991,1,2.729,969-a,0.3719,1,1,1,2.4831,1,2.7249,1,2.7669,929-a,0.821,1,1,1,2.6236,1,2.9016,1,2.9742,688-a,0.9884,1,1,1,2.5757,1,2.8216,1,2.8676,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,363-a,1,6,6,6,16.0099,6,19.0385,6,18.5347,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c242193_g2_i1|m.29501,772,1,lcl c242193_g2_i1 g.29501  ORF lcl c242193_g2_i1 g.29501 lcl c242193_g2_i1 m.29501 type:complete len:772 (+) lcl c242193_g2_i1:1372-3687(+),58,1004-a,1,1,1,0.999,1,0.999,89,87,1077,990,551-a,1,9,8,9,41.284,8,40.3137,9,46.6568,526-a,1,9,9,13,56.4176,13,67.7824,13,65.6502,524-a,1,9,8,9,37.7929,8,36.7781,9,42.2934,666-a,1,15,14,17,62.1463,15,60.2051,17,69.9212,499-a,1,12,12,13,58.8481,13,65.1724,13,68.0292,523-a,1,8,7,9,39.7356,7,34.1167,9,44.9498,520-a,1,6,5,6,24.9064,5,22.6508,6,27.616,502-a,1,8,8,9,44.748,9,52.9747,9,51.7118,447-a,1,11,11,12,59.8097,12,65.5545,12,69.1344,364-a,1,4,4,4,20.5481,4,22.6465,4,23.1458,553-a,1,15,15,15,68.7795,15,76.148,15,76.9904,526-a,1,6,5,6,28.0212,5,25.6258,6,31.2241,518-a,1,12,12,13,64.1492,13,70.9466,13,72.7223,476-a,1,9,8,9,43.5995,8,42.4556,9,48.5419,299-a,1,6,6,6,32.0182,6,37.645,6,36.6807,430-a,1,5,5,6,33.2652,6,39.9716,6,38.7204,541-a,1,7,6,7,35.1306,6,35.8081,7,40.6707,633-a,1,19,19,20,89.7596,20,104.1009,20,102.0535,470-a,1,9,9,9,48.2698,9,53.1029,9,55.1175,537-a,1,10,9,10,44.1237,9,43.2342,10,49.065
lcl|c242257_g2_i2|m.29551,1083,1,lcl c242257_g2_i2 g.29551  ORF lcl c242257_g2_i2 g.29551 lcl c242257_g2_i2 m.29551 type:complete len:1083 (+) lcl c242257_g2_i2:1964-5212(+),32,1005-a,1,1,1,0.999,1,0.999,18,18,54,54,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,678-a,0.9903,1,1,1,3.1472,1,3.4742,1,3.5602,null,0,0,0,0,0,0,0,0,0,861-a,0.915,1,1,1,3.5442,1,4.1958,1,4.0958,null,0,0,0,0,0,0,0,0,0,580-a,0.9978,2,2,3,10.9855,3,12.1074,3,12.3743,698-a,0.9902,1,1,1,3.2686,1,3.6187,1,3.6588,587-a,0.9968,1,1,1,3.3291,1,3.6534,1,3.7096,727-a,0.9921,1,1,1,3.5175,1,3.8902,1,3.9876,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,467-a,0.9997,2,2,2,7.9042,2,9.4977,2,9.2004,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,614-a,0.9915,1,1,1,3.8232,1,4.206,1,4.3655,null,0,0,0,0,0,0,0,0,0
lcl|c242362_g2_i1|m.29700,2899,1,lcl c242362_g2_i1 g.29700  ORF lcl c242362_g2_i1 g.29700 lcl c242362_g2_i1 m.29700 type:complete len:2899 (+) lcl c242362_g2_i1:1584-10280(+),57,1006-a,1,1,1,0.999,1,0.999,59,59,314,314,362-a,1,8,8,8,9.7723,8,10.7355,8,11.0441,344-a,1,8,8,8,9.2455,8,11.1079,8,10.7585,347-a,1,7,7,7,7.8277,7,8.5697,7,8.7599,444-a,1,10,10,10,9.735,10,10.6884,10,10.9529,318-a,1,3,3,3,3.6164,3,4.0051,3,4.1806,336-a,1,2,2,2,2.3515,2,2.5958,2,2.66,337-a,1,7,7,7,7.738,7,8.4446,7,8.5798,322-a,1,4,4,4,5.2961,4,6.2698,4,6.1204,290-a,1,5,5,5,6.6364,5,7.2738,5,7.671,365-a,1,6,6,6,8.2079,6,9.0461,6,9.2455,355-a,1,5,5,5,6.1053,5,6.7594,5,6.8341,341-a,1,6,6,6,7.462,6,8.1889,6,8.3149,340-a,1,7,7,7,9.1985,7,10.1731,7,10.4278,300-a,1,9,9,9,11.6105,9,12.7191,9,12.9267,300-a,1,7,7,7,9.9475,7,11.6956,7,11.396,276-a,1,4,4,4,5.9057,4,7.0963,4,6.8741,364-a,1,7,7,7,9.3552,7,11.1249,7,10.8306,410-a,1,8,8,8,9.5611,8,11.0888,8,10.8707,305-a,1,2,2,2,2.8565,2,3.1425,2,3.2617,348-a,1,5,5,5,5.875,5,6.3962,5,6.533
