PROTID,PROTLEN,ISFWD,DEFLINE,NUMXML,ALL_ID,MAXPW,ALL_PW,ALL_LOCALPW,MAXINIPROB,WT_MAXINIPROB,MAXINIPROBUNIQ,ALL_NUMPEPSTOT,ALL_NUMPEPSUNIQ,ALL_NUMSPECSTOT,ALL_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_01_ID,X2018_MARCH_12_CORAL_JAA_01_PW,X2018_MARCH_12_CORAL_JAA_01_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_01_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_01_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_01_TOTNSAF,X2018_MARCH_12_CORAL_JAA_01_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_01_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_01_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_01_ADJNSAF,X2018_MARCH_12_CORAL_JAA_03_ID,X2018_MARCH_12_CORAL_JAA_03_PW,X2018_MARCH_12_CORAL_JAA_03_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_03_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_03_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_03_TOTNSAF,X2018_MARCH_12_CORAL_JAA_03_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_03_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_03_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_03_ADJNSAF,X2018_MARCH_12_CORAL_JAA_04_ID,X2018_MARCH_12_CORAL_JAA_04_PW,X2018_MARCH_12_CORAL_JAA_04_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_04_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_04_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_04_TOTNSAF,X2018_MARCH_12_CORAL_JAA_04_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_04_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_04_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_04_ADJNSAF,X2018_MARCH_12_CORAL_JAA_05_ID,X2018_MARCH_12_CORAL_JAA_05_PW,X2018_MARCH_12_CORAL_JAA_05_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_05_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_05_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_05_TOTNSAF,X2018_MARCH_12_CORAL_JAA_05_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_05_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_05_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_05_ADJNSAF,X2018_MARCH_12_CORAL_JAA_06_ID,X2018_MARCH_12_CORAL_JAA_06_PW,X2018_MARCH_12_CORAL_JAA_06_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_06_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_06_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_06_TOTNSAF,X2018_MARCH_12_CORAL_JAA_06_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_06_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_06_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_06_ADJNSAF,X2018_MARCH_12_CORAL_JAA_07_ID,X2018_MARCH_12_CORAL_JAA_07_PW,X2018_MARCH_12_CORAL_JAA_07_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_07_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_07_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_07_TOTNSAF,X2018_MARCH_12_CORAL_JAA_07_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_07_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_07_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_07_ADJNSAF,X2018_MARCH_12_CORAL_JAA_08_ID,X2018_MARCH_12_CORAL_JAA_08_PW,X2018_MARCH_12_CORAL_JAA_08_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_08_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_08_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_08_TOTNSAF,X2018_MARCH_12_CORAL_JAA_08_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_08_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_08_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_08_ADJNSAF,X2018_MARCH_12_CORAL_JAA_09_ID,X2018_MARCH_12_CORAL_JAA_09_PW,X2018_MARCH_12_CORAL_JAA_09_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_09_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_09_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_09_TOTNSAF,X2018_MARCH_12_CORAL_JAA_09_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_09_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_09_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_09_ADJNSAF,X2018_MARCH_12_CORAL_JAA_10_ID,X2018_MARCH_12_CORAL_JAA_10_PW,X2018_MARCH_12_CORAL_JAA_10_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_10_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_10_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_10_TOTNSAF,X2018_MARCH_12_CORAL_JAA_10_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_10_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_10_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_10_ADJNSAF,X2018_MARCH_12_CORAL_JAA_11_ID,X2018_MARCH_12_CORAL_JAA_11_PW,X2018_MARCH_12_CORAL_JAA_11_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_11_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_11_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_11_TOTNSAF,X2018_MARCH_12_CORAL_JAA_11_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_11_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_11_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_11_ADJNSAF,X2018_MARCH_12_CORAL_JAA_12_ID,X2018_MARCH_12_CORAL_JAA_12_PW,X2018_MARCH_12_CORAL_JAA_12_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_12_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_12_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_12_TOTNSAF,X2018_MARCH_12_CORAL_JAA_12_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_12_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_12_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_12_ADJNSAF,X2018_MARCH_12_CORAL_JAA_13_ID,X2018_MARCH_12_CORAL_JAA_13_PW,X2018_MARCH_12_CORAL_JAA_13_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_13_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_13_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_13_TOTNSAF,X2018_MARCH_12_CORAL_JAA_13_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_13_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_13_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_13_ADJNSAF,X2018_MARCH_12_CORAL_JAA_14_ID,X2018_MARCH_12_CORAL_JAA_14_PW,X2018_MARCH_12_CORAL_JAA_14_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_14_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_14_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_14_TOTNSAF,X2018_MARCH_12_CORAL_JAA_14_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_14_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_14_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_14_ADJNSAF,X2018_MARCH_12_CORAL_JAA_15_ID,X2018_MARCH_12_CORAL_JAA_15_PW,X2018_MARCH_12_CORAL_JAA_15_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_15_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_15_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_15_TOTNSAF,X2018_MARCH_12_CORAL_JAA_15_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_15_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_15_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_15_ADJNSAF,X2018_MARCH_12_CORAL_JAA_16_ID,X2018_MARCH_12_CORAL_JAA_16_PW,X2018_MARCH_12_CORAL_JAA_16_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_16_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_16_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_16_TOTNSAF,X2018_MARCH_12_CORAL_JAA_16_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_16_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_16_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_16_ADJNSAF,X2018_MARCH_12_CORAL_JAA_17_ID,X2018_MARCH_12_CORAL_JAA_17_PW,X2018_MARCH_12_CORAL_JAA_17_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_17_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_17_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_17_TOTNSAF,X2018_MARCH_12_CORAL_JAA_17_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_17_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_17_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_17_ADJNSAF,X2018_MARCH_12_CORAL_JAA_19_ID,X2018_MARCH_12_CORAL_JAA_19_PW,X2018_MARCH_12_CORAL_JAA_19_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_19_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_19_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_19_TOTNSAF,X2018_MARCH_12_CORAL_JAA_19_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_19_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_19_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_19_ADJNSAF,X2018_MARCH_12_CORAL_JAA_20_ID,X2018_MARCH_12_CORAL_JAA_20_PW,X2018_MARCH_12_CORAL_JAA_20_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_20_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_20_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_20_TOTNSAF,X2018_MARCH_12_CORAL_JAA_20_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_20_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_20_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_20_ADJNSAF,X2018_MARCH_12_CORAL_JAA_21_ID,X2018_MARCH_12_CORAL_JAA_21_PW,X2018_MARCH_12_CORAL_JAA_21_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_21_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_21_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_21_TOTNSAF,X2018_MARCH_12_CORAL_JAA_21_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_21_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_21_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_21_ADJNSAF,X2018_MARCH_12_CORAL_JAA_22_ID,X2018_MARCH_12_CORAL_JAA_22_PW,X2018_MARCH_12_CORAL_JAA_22_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_22_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_22_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_22_TOTNSAF,X2018_MARCH_12_CORAL_JAA_22_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_22_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_22_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_22_ADJNSAF
lcl|c143056_g1_i1|m.250,150,1,lcl c143056_g1_i1 g.250  ORF lcl c143056_g1_i1 g.250 lcl c143056_g1_i1 m.250 type:3prime_partial len:151 (+) lcl c143056_g1_i1:100-549(+),5,1-a,1,1,1,0.999,1,0.999,6,6,8,8,1286-a,0,1,1,1,22.5313,1,24.3816,1,24.3233,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,914-a,0.9846,1,1,1,19.9488,1,21.8761,1,22.1751,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1-a,1,3,3,4,76.6899,4,83.7453,4,84.6768,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c182463_g1_i1|m.663,145,1,lcl c182463_g1_i1 g.663  ORF lcl c182463_g1_i1 g.663 lcl c182463_g1_i1 m.663 type:complete len:145 (+) lcl c182463_g1_i1:115-549(+),38,10-a,1,1,1,0.999,1,0.999,7,7,69,69,null,0,0,0,0,0,0,0,0,0,6-a,1,2,2,2,35.9756,2,38.8623,2,39.0283,1000-a,0.9751,1,1,1,21.0166,1,23.7883,1,23.42,840-a,0.97,1,1,1,22.8538,1,25.3521,1,25.355,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1174-a,0.3451,1,1,1,18.9126,1,21.5031,1,20.9014,879-a,0.9831,1,1,1,21.5701,1,23.4307,1,24.2489,1011-a,0.922,1,1,1,22.2936,1,24.4817,1,24.8781,null,0,0,0,0,0,0,0,0,0,3-a,1,2,2,2,41.2733,2,45.2608,2,45.8794,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c211604_g1_i1|m.2470,229,1,lcl c211604_g1_i1 g.2470  ORF lcl c211604_g1_i1 g.2470 lcl c211604_g1_i1 m.2470 type:complete len:229 (+) lcl c211604_g1_i1:32-718(+),12,100-a,1,1,1,0.999,1,0.999,5,5,13,13,1109-a,0.9143,1,1,1,14.7585,1,15.9705,1,15.9323,null,0,0,0,0,0,0,0,0,0,794-a,0.989,1,1,1,13.3074,1,15.0624,1,14.8292,null,0,0,0,0,0,0,0,0,0,1259-a,0,1,1,1,14.7017,1,16.0547,1,16.1076,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,985-a,0.8906,1,1,1,14.907,1,16.517,1,16.4867,38-a,1,2,2,2,23.9505,2,27.231,2,26.469,null,0,0,0,0,0,0,0,0,0,1023-a,0.9087,1,1,1,14.116,1,15.5015,1,15.7525,826-a,0.9882,1,1,1,11.535,1,12.6141,1,12.5145,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1024-a,0.9804,1,1,1,12.3834,1,13.4789,1,13.6868,975-a,0.9323,1,1,1,12.5584,1,13.7137,1,13.8663,693-a,0.9812,1,1,1,20.334,1,21.9272,1,22.2472,791-a,0.9874,1,1,1,12.9447,1,13.9782,1,14.2005
lcl|c242089_g1_i1|m.29373,335,1,lcl c242089_g1_i1 g.29373  ORF lcl c242089_g1_i1 g.29373 lcl c242089_g1_i1 m.29373 type:5prime_partial len:335 (+) lcl c242089_g1_i1:3-1007(+),57,1000-a,1,1,1,0.999,1,0.999,21,21,327,327,469-a,1,4,4,5,50.4431,5,54.5857,5,54.4551,481-a,1,5,5,8,62.2862,8,67.2839,8,67.5714,464-a,1,8,8,8,72.7737,8,82.3713,8,81.096,372-a,1,6,6,7,69.2435,7,76.8132,7,76.8219,420-a,1,7,7,7,70.3488,7,76.8231,7,77.0761,396-a,1,8,8,9,78.7441,9,86.9913,9,87.098,483-a,1,7,7,9,65.9219,9,70.9107,9,71.2857,526-a,1,6,6,6,47.0951,6,51.558,6,51.8262,469-a,1,7,7,8,67.991,8,78.7667,8,76.9158,380-a,1,4,4,6,61.141,6,67.7445,6,67.6199,440-a,1,7,7,9,73.6746,9,83.7657,9,81.4218,419-a,1,4,4,4,37.3453,4,40.5665,4,41.9832,410-a,1,5,5,6,57.8967,6,63.5794,6,64.6089,485-a,1,6,6,7,55.1958,7,60.3596,7,59.883,427-a,1,6,6,7,62.526,7,68.5667,7,69.5039,517-a,1,9,9,9,73.2462,9,79.294,9,80.035,461-a,1,10,10,12,101.5805,12,110.5668,12,112.2723,427-a,1,5,5,7,60.0928,7,65.6213,7,66.3512,299-a,1,4,4,5,69.4999,5,74.9453,5,76.039,446-a,1,3,3,4,35.395,4,38.2211,4,38.8288
lcl|c242138_g5_i6|m.29443,1858,1,lcl c242138_g5_i6 g.29443  ORF lcl c242138_g5_i6 g.29443 lcl c242138_g5_i6 m.29443 type:3prime_partial len:1859 (+) lcl c242138_g5_i6:634-6207(+),9,1001-a,0.9997,1,1,0.991,1,0.991,4,4,15,15,null,0,0,0,0,0,0,0,0,0,1283-a,0.2346,1,1,1,1.4038,1,1.5164,1,1.5229,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,820-a,0.9997,2,2,3,3.9619,3,4.2618,3,4.2843,null,0,0,0,0,0,0,0,0,0,1914-a,0,1,1,1,1.5324,1,1.7752,1,1.7335,null,0,0,0,0,0,0,0,0,0,760-a,0.9978,3,3,3,4.4279,3,5.0344,3,4.8935,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1130-a,0.5055,1,1,1,1.6105,1,1.7661,1,1.7902,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1093-a,0.4412,1,1,1,1.5478,1,1.6902,1,1.709,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c242139_g4_i2|m.29446,236,1,lcl c242139_g4_i2 g.29446  ORF lcl c242139_g4_i2 g.29446 lcl c242139_g4_i2 m.29446 type:complete len:236 (+) lcl c242139_g4_i2:183-890(+),53,1002-a,1,1,1,0.999,1,0.999,19,19,159,159,470-a,1,6,6,6,85.9243,6,92.9807,6,92.7582,482-a,1,6,6,6,66.311,6,71.6317,6,71.9378,465-a,1,4,4,4,51.6509,4,58.4627,4,57.5575,373-a,1,2,2,4,56.1661,4,62.3061,4,62.3132,690-a,0.9998,2,2,2,28.5313,2,31.1571,2,31.2597,397-a,1,3,3,3,37.2589,3,41.1611,3,41.2116,484-a,1,3,3,4,41.5891,4,44.7365,4,44.9731,527-a,1,3,3,3,33.4255,3,36.593,3,36.7834,470-a,1,4,4,4,48.2563,4,55.9044,4,54.5907,381-a,1,2,2,3,43.3945,3,48.0814,3,47.993,441-a,1,2,2,2,23.2401,2,26.4233,2,25.6839,420-a,1,3,3,3,39.7585,3,43.1879,3,44.6961,825-a,0.9897,1,1,1,13.6973,1,15.0417,1,15.2853,486-a,1,7,7,8,89.5428,8,97.9199,8,97.1468,428-a,1,3,3,3,38.0379,3,41.7128,3,42.283,518-a,1,6,6,6,69.3149,6,75.0381,6,75.7393,462-a,1,5,5,6,72.0964,6,78.4743,6,79.6848,428-a,1,5,5,6,73.1154,6,79.8419,6,80.73,300-a,1,5,5,5,98.6546,5,106.3842,5,107.9367,447-a,1,3,3,4,50.2429,4,54.2545,4,55.1171
lcl|c242185_g2_i2|m.29491,1452,1,lcl c242185_g2_i2 g.29491  ORF lcl c242185_g2_i2 g.29491 lcl c242185_g2_i2 m.29491 type:5prime_partial len:1452 (+) lcl c242185_g2_i2:3-4358(+),26,1003-a,1,1,1,0.999,1,0.999,14,14,50,50,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1251-a,0.203,1,1,1,2.0988,1,2.3755,1,2.3388,374-a,1,3,3,3,6.8467,3,7.5952,3,7.596,421-a,1,3,3,3,6.956,3,7.5961,3,7.6212,398-a,1,2,2,2,4.0372,2,4.4601,2,4.4655,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1156-a,0.906,1,1,1,1.9608,1,2.2716,1,2.2182,null,0,0,0,0,0,0,0,0,0,959-a,0.9791,1,1,1,1.8887,1,2.1473,1,2.0873,421-a,1,2,2,2,4.3081,2,4.6797,2,4.8431,411-a,1,3,3,3,6.6789,3,7.3344,3,7.4532,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1044-a,0.9761,1,1,1,1.953,1,2.1258,1,2.1586,911-a,0.9743,1,1,1,1.9806,1,2.1628,1,2.1869,473-a,0.9999,2,2,2,6.4139,2,6.9164,2,7.0174,null,0,0,0,0,0,0,0,0,0
lcl|c242193_g2_i1|m.29501,772,1,lcl c242193_g2_i1 g.29501  ORF lcl c242193_g2_i1 g.29501 lcl c242193_g2_i1 m.29501 type:complete len:772 (+) lcl c242193_g2_i1:1372-3687(+),58,1004-a,1,1,1,0.999,1,0.999,89,87,1077,990,712-a,1,23,22,26,113.8237,25,118.434,26,122.8766,748-a,1,31,30,35,118.2489,33,120.4378,35,128.2828,688-a,1,27,26,35,138.1594,33,147.444,35,153.9589,578-a,1,29,28,35,150.2369,33,157.1373,35,166.6796,649-a,1,29,28,33,143.913,32,152.3953,33,157.6751,608-a,1,28,27,34,129.0869,33,138.4123,34,142.7816,768-a,1,36,35,43,136.673,41,140.1783,43,147.7936,788-a,1,34,33,45,153.2725,43,160.3395,45,168.6701,733-a,1,23,22,29,106.9516,27,115.357,29,120.9905,590-a,1,17,16,19,84.016,17,83.2912,19,92.919,689-a,1,37,36,43,152.7466,41,165.5903,43,168.8084,623-a,1,27,26,30,121.5416,28,123.2234,30,136.6358,640-a,1,28,27,36,150.7415,34,156.3406,35,163.5448,733-a,1,30,29,38,130.0227,36,134.7032,38,141.0642,654-a,1,27,26,31,120.1577,29,123.2653,31,133.5674,797-a,1,26,25,38,134.2003,36,137.6347,38,146.6387,696-a,1,27,25,35,128.5656,31,123.9461,35,142.0976,660-a,1,40,39,44,163.9097,42,170.8534,44,180.9803,446-a,1,23,23,25,150.7932,25,162.608,25,164.981,696-a,1,30,29,35,134.3932,33,136.831,35,147.4312
lcl|c242257_g2_i2|m.29551,1083,1,lcl c242257_g2_i2 g.29551  ORF lcl c242257_g2_i2 g.29551 lcl c242257_g2_i2 m.29551 type:complete len:1083 (+) lcl c242257_g2_i2:1964-5212(+),32,1005-a,1,1,1,0.999,1,0.999,18,18,54,54,471-a,1,5,5,5,15.6034,5,16.8848,5,16.8444,483-a,1,2,2,2,4.8167,2,5.2032,2,5.2254,779-a,0.9955,1,1,1,2.8139,1,3.1849,1,3.1356,979-a,0.718,1,1,1,3.0598,1,3.3943,1,3.3947,422-a,1,2,2,2,6.2173,2,6.7895,2,6.8119,805-a,0.9871,1,1,1,2.7064,1,2.9899,1,2.9935,795-a,0.9999,2,2,2,4.5314,2,4.8743,2,4.9001,1029-a,0.9896,1,1,1,2.428,1,2.658,1,2.6719,1257-a,0.4833,1,1,1,2.6289,1,3.0456,1,2.974,781-a,0.9913,1,1,1,3.1521,1,3.4925,1,3.4861,442-a,1,5,5,5,12.6608,5,14.3949,5,13.9921,422-a,1,2,2,2,5.7759,2,6.2741,2,6.4932,null,0,0,0,0,0,0,0,0,0,487-a,1,3,3,3,7.3172,3,8.0018,3,7.9386,730-a,0.9993,2,2,2,5.526,2,6.0598,2,6.1427,519-a,1,2,2,2,5.0349,2,5.4506,2,5.5015,null,0,0,0,0,0,0,0,0,0,1045-a,0.7097,1,1,1,2.6555,1,2.8998,1,2.932,null,0,0,0,0,0,0,0,0,0,448-a,1,4,4,4,10.9486,4,11.8228,4,12.0107
lcl|c242362_g2_i1|m.29700,2899,1,lcl c242362_g2_i1 g.29700  ORF lcl c242362_g2_i1 g.29700 lcl c242362_g2_i1 m.29700 type:complete len:2899 (+) lcl c242362_g2_i1:1584-10280(+),57,1006-a,1,1,1,0.999,1,0.999,59,59,314,314,472-a,1,6,6,6,6.9949,6,7.5693,6,7.5512,484-a,1,5,5,5,4.4985,5,4.8595,5,4.8802,466-a,1,3,3,3,3.1536,3,3.5695,3,3.5142,375-a,1,4,4,4,4.5723,4,5.0722,4,5.0728,423-a,1,9,9,9,10.452,9,11.4139,9,11.4515,399-a,1,6,6,7,7.0773,7,7.8186,7,7.8282,485-a,1,5,5,5,4.2321,5,4.5524,5,4.5764,528-a,1,7,7,7,6.3492,7,6.9509,7,6.987,471-a,1,9,9,9,8.839,9,10.2398,9,9.9992,382-a,1,5,5,5,5.8877,5,6.5236,5,6.5116,443-a,1,4,4,4,3.7838,4,4.3021,4,4.1817,423-a,1,5,5,5,5.3944,5,5.8597,5,6.0643,412-a,1,9,9,9,10.0356,9,11.0206,9,11.199,488-a,1,17,17,17,15.4901,17,16.9392,17,16.8055,708-a,0.9997,2,2,2,2.0644,2,2.2638,2,2.2948,520-a,1,2,2,2,1.8809,2,2.0362,2,2.0552,463-a,1,5,5,5,4.891,5,5.3237,5,5.4058,429-a,1,4,4,5,4.9601,5,5.4164,5,5.4767,301-a,1,3,3,3,4.8187,3,5.1963,3,5.2721,449-a,1,5,5,5,5.1127,5,5.5209,5,5.6087
