Protein,Len,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,LogFoldChange,Zstatistic
ALBU_BOVIN,607,0,0,1,0,0,0,0,0,2,0,0,0,0,0,7,0,16,0,0,0,1.09,3.2094
CAS1_BOVIN,214,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.466,-1.1174
CASB_BOVIN,224,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.079,-0.1761
CYC_HUMAN,104,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,0,-0.013,-0.0311
K1C10_HUMAN,593,2,11,1,2,5,4,5,6,1,6,4,2,0,7,7,6,3,9,3,0,0.004,0.0203
K1C15_SHEEP,453,0,0,0,0,2,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,-0.115,-0.2744
K1C9_HUMAN,623,0,16,0,1,0,1,0,1,1,1,3,1,5,2,5,2,2,4,5,5,0.278,1.1098
K1M1_SHEEP,412,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,-0.001,-0.0012
K22E_HUMAN,645,2,9,4,2,4,4,6,6,2,6,6,2,4,4,4,5,2,7,2,2,-0.169,-0.7677
K2C1_HUMAN,643,1,15,9,5,7,11,9,9,9,12,12,4,13,18,10,8,2,13,7,10,0.094,0.621
K2M2_SHEEP,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.0235
KRA3_SHEEP,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.0931
lcl|c129535_g1_i1|m.155,581,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.03,0.0627
lcl|c141061_g1_i1|m.229,205,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,-0.096,-0.2155
lcl|c143056_g1_i1|m.250,150,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,-0.27,-0.6432
lcl|c145576_g1_i1|m.265,147,2,2,1,7,8,5,2,6,0,4,3,4,3,4,4,5,2,1,2,2,-0.227,-0.9641
lcl|c157567_g1_i1|m.372,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,-0.0022
lcl|c163027_g1_i3|m.422,260,3,2,2,1,2,3,2,1,3,0,0,0,0,0,0,1,0,0,1,0,-0.699,-1.7592
lcl|c164490_g1_i1|m.440,278,16,14,14,14,16,21,21,14,11,19,10,10,4,8,11,10,7,6,8,9,-0.66,-5.0073
lcl|c167783_g1_i1|m.480,134,0,1,0,0,0,2,1,2,0,1,2,0,1,0,1,0,0,1,1,0,-0.064,-0.1546
lcl|c169761_g1_i1|m.505,502,1,3,1,6,0,1,2,5,2,1,3,11,4,4,0,8,1,3,2,11,0.715,2.7888
lcl|c176627_g1_i2|m.576,287,0,1,2,0,0,6,0,2,0,0,8,1,0,2,0,0,6,0,0,0,0.322,0.9997
lcl|c176630_g1_i1|m.578,375,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0.112,0.2517
lcl|c177410_g1_i1|m.597,156,2,1,0,0,0,1,3,0,2,1,0,0,1,0,0,0,0,2,0,0,-0.238,-0.5888
lcl|c182463_g1_i1|m.663,145,1,1,0,0,1,1,1,0,0,0,2,3,2,4,2,0,1,2,0,1,0.654,1.6549
lcl|c184118_g1_i1|m.691,140,30,32,30,32,38,33,29,38,21,35,32,24,28,31,31,27,29,29,24,19,-0.143,-1.7034
lcl|c187253_g2_i1|m.744,358,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.027,-0.0596
lcl|c188047_g2_i2|m.760,688,1,2,2,1,1,3,4,1,1,2,1,0,0,0,2,2,0,0,2,0,-0.359,-0.9288
lcl|c192621_g3_i1|m.866,226,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.029,0.0681
lcl|c194625_g1_i1|m.911,173,2,1,0,1,3,0,1,1,0,7,1,1,1,2,0,1,0,1,0,0,-0.547,-1.4385
lcl|c195747_g2_i1|m.945,100,102,132,88,146,124,103,95,115,99,128,106,176,150,179,152,135,130,130,124,138,0.231,6.1136
lcl|c197607_g1_i1|m.1006,109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,-0.0065
lcl|c198620_g1_i2|m.1049,143,3,3,1,2,2,4,3,4,2,3,1,3,4,2,2,1,1,0,4,3,-0.228,-0.7578
lcl|c198665_g3_i2|m.1050,232,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.063,-0.1417
lcl|c199545_g1_i1|m.1080,279,2,0,0,0,1,1,1,2,0,0,1,1,0,0,0,1,0,1,0,0,-0.208,-0.4704
lcl|c199810_g1_i2|m.1089,141,0,0,0,2,1,0,0,1,0,1,3,3,1,1,2,3,1,0,0,1,0.43,1.1007
lcl|c201141_g1_i1|m.1178,281,0,5,2,1,4,3,4,6,1,6,0,1,0,0,0,0,0,0,0,0,-1.23,-3.3632
lcl|c201155_g1_i1|m.1182,295,8,8,6,5,7,6,8,5,3,7,5,4,6,2,1,1,3,4,5,2,-0.656,-3.1745
lcl|c201157_g2_i3|m.1183,490,0,0,0,0,0,0,1,0,0,1,1,3,0,2,1,2,0,2,2,1,0.468,1.1398
lcl|c201413_g4_i1|m.1201,149,2,0,0,1,2,1,1,4,1,1,1,1,0,1,1,1,1,1,1,0,-0.432,-1.0517
lcl|c201441_g1_i1|m.1204,402,2,2,2,2,5,4,1,2,1,2,0,1,0,0,1,1,0,0,2,2,-0.654,-1.8098
lcl|c201696_g3_i1|m.1219,152,4,1,1,2,5,3,5,4,1,3,2,1,1,1,0,2,3,0,3,2,-0.56,-1.7869
lcl|c201793_g1_i1|m.1223,210,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-0.035,-0.078
lcl|c202129_g1_i1|m.1242,199,13,9,13,11,10,10,8,11,6,11,10,8,7,6,6,7,5,6,4,8,-0.424,-2.8299
lcl|c202472_g1_i1|m.1259,104,38,24,33,31,44,33,32,42,31,32,31,47,52,49,41,40,29,32,23,33,0.097,1.3172
lcl|c202641_g1_i1|m.1266,196,2,2,3,3,4,2,1,3,3,4,4,1,1,3,2,1,1,1,1,1,-0.531,-1.6298
lcl|c202763_g1_i3|m.1276,200,1,0,0,0,2,1,2,2,2,2,4,9,3,2,3,3,3,4,4,3,0.928,3.2769
lcl|c202894_g5_i1|m.1285,234,4,2,9,2,0,1,0,0,1,0,6,2,7,5,1,5,3,7,0,5,0.635,2.3049
