Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (GO),Gene ontology (molecular function),Gene ontology IDs,Cross-reference (KEGG),Cross-reference (KO),Cross-reference (Pfam),yourlist:M2018112014483A1C7ED25EE8374758DF3FD545FD0244567
A0A2B4SZF0,A0A2B4SZF0_STYPI,unreviewed,40S ribosomal protein S15,RPS15 AWC38_SpisGene662,Stylophora pistillata (Smooth cauliflower coral),146,translation [GO:0006412],small ribosomal subunit [GO:0015935],small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],GO:0003723; GO:0003735; GO:0006412; GO:0015935,,,PF00203;,A0A2B4SZF0
A0A2B4SVB7,A0A2B4SVB7_STYPI,unreviewed,Vacuolar protein sorting-associated protein VTA1-like,VTA1 AWC38_SpisGene485,Stylophora pistillata (Smooth cauliflower coral),294,,,,,,,,PF04652;,A0A2B4SVB7
A0A2B4RGC1,A0A2B4RGC1_STYPI,unreviewed,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,SLC9A3R2 AWC38_SpisGene19051,Stylophora pistillata (Smooth cauliflower coral),292,,,,,,,,PF00595;,A0A2B4RGC1
A0A2B4SEX5,A0A2B4SEX5_STYPI,unreviewed,L-rhamnose mutarotase,rhaM AWC38_SpisGene8126,Stylophora pistillata (Smooth cauliflower coral),151,,cytoplasm [GO:0005737],"cytoplasm [GO:0005737]; racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]","racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]",GO:0005737; GO:0016857,,,PF05336;,A0A2B4SEX5
A0A2B4SHW7,A0A2B4SHW7_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene6250,Stylophora pistillata (Smooth cauliflower coral),449,,,,,,,,,A0A2B4SHW7
A0A2B4SGP6,A0A2B4SGP6_STYPI,unreviewed,Hemicentin-1,HMCN1 AWC38_SpisGene7559,Stylophora pistillata (Smooth cauliflower coral),597,,,,,,,,PF00090;PF00092;,A0A2B4SGP6
A0A2B4S6N7,A0A2B4S6N7_STYPI,unreviewed,cAMP-dependent protein kinase type II regulatory subunit,AWC38_SpisGene9790,Stylophora pistillata (Smooth cauliflower coral),2250,,cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211],cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; ionotropic glutamate receptor activity [GO:0004970]; kinase activity [GO:0016301],ionotropic glutamate receptor activity [GO:0004970]; kinase activity [GO:0016301],GO:0004970; GO:0016021; GO:0016301; GO:0030054; GO:0045211,,,PF01094;PF00027;PF00060;PF02197;PF00497;,A0A2B4S6N7
C3Y0S2,C3Y0S2_BRAFL,unreviewed,Glutaredoxin,BRAFLDRAFT_129234,Branchiostoma floridae (Florida lancelet) (Amphioxus),152,cell redox homeostasis [GO:0045454],mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],"mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; glutathione disulfide oxidoreductase activity [GO:0015038]; metal ion binding [GO:0046872]; protein disulfide oxidoreductase activity [GO:0015035]; cell redox homeostasis [GO:0045454]","2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; glutathione disulfide oxidoreductase activity [GO:0015038]; metal ion binding [GO:0046872]; protein disulfide oxidoreductase activity [GO:0015035]",GO:0005739; GO:0005759; GO:0009055; GO:0015035; GO:0015038; GO:0045454; GO:0046872; GO:0051537,bfo:BRAFLDRAFT_129234;,K07390;,PF00462;,C3Y0S2
A0A2B4RK46,A0A2B4RK46_STYPI,unreviewed,Chymotrypsinogen B2,CTRB2 AWC38_SpisGene18954,Stylophora pistillata (Smooth cauliflower coral),312,,,serine-type endopeptidase activity [GO:0004252],serine-type endopeptidase activity [GO:0004252],GO:0004252,,,PF00089;,A0A2B4RK46
A0A2B4S7P5,A0A2B4S7P5_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene8619,Stylophora pistillata (Smooth cauliflower coral),220,,,,,,,,,A0A2B4S7P5
A0A2B4RY44,A0A2B4RY44_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene12110,Stylophora pistillata (Smooth cauliflower coral),1650,,,,,,,,,A0A2B4RY44
A0A2B4SKU5,A0A2B4SKU5_STYPI,unreviewed,RING finger protein 219,Rnf219 AWC38_SpisGene3878,Stylophora pistillata (Smooth cauliflower coral),449,,,,,,,,,A0A2B4SKU5
A0A2B4SH71,A0A2B4SH71_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene6851,Stylophora pistillata (Smooth cauliflower coral),282,,,,,,,,,A0A2B4SH71
A0A2B4SQD7,A0A2B4SQD7_STYPI,unreviewed,Acyl-coenzyme A oxidase,ACX2 AWC38_SpisGene4447,Stylophora pistillata (Smooth cauliflower coral),745,fatty acid beta-oxidation [GO:0006635],peroxisome [GO:0005777],peroxisome [GO:0005777]; acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid beta-oxidation [GO:0006635],acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949],GO:0003997; GO:0005777; GO:0006635; GO:0071949,,,PF01756;PF00441;PF02770;,A0A2B4SQD7
A0A2B4S4H9,A0A2B4S4H9_STYPI,unreviewed,Cortactin-binding protein 2,CTTNBP2 AWC38_SpisGene9763,Stylophora pistillata (Smooth cauliflower coral),210,,,,,,,,PF12796;,A0A2B4S4H9
A0A2B4RZV4,A0A2B4RZV4_STYPI,unreviewed,"Beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.244)",B4galnt4 AWC38_SpisGene13734,Stylophora pistillata (Smooth cauliflower coral),562,,Golgi cisterna membrane [GO:0032580],Golgi cisterna membrane [GO:0032580]; N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity [GO:0033842],N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity [GO:0033842],GO:0032580; GO:0033842,,,PF05679;PF07691;,A0A2B4RZV4
A0A1S3I8J3,A0A1S3I8J3_LINUN,unreviewed,uncharacterized protein LOC106165144 isoform X4,LOC106165144,Lingula unguis,240,,,,,,,,,A0A1S3I8J3
