PROTID,PROTLEN,ISFWD,DEFLINE,NUMXML,ALL_ID,MAXPW,ALL_PW,ALL_LOCALPW,MAXINIPROB,WT_MAXINIPROB,MAXINIPROBUNIQ,ALL_NUMPEPSTOT,ALL_NUMPEPSUNIQ,ALL_NUMSPECSTOT,ALL_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_04_ID,X2018_MARCH_12_CORAL_JAA_04_PW,X2018_MARCH_12_CORAL_JAA_04_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_04_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_04_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_04_TOTNSAF,X2018_MARCH_12_CORAL_JAA_04_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_04_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_04_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_04_ADJNSAF,X2018_MARCH_12_CORAL_JAA_05_ID,X2018_MARCH_12_CORAL_JAA_05_PW,X2018_MARCH_12_CORAL_JAA_05_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_05_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_05_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_05_TOTNSAF,X2018_MARCH_12_CORAL_JAA_05_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_05_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_05_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_05_ADJNSAF,X2018_MARCH_12_CORAL_JAA_06_ID,X2018_MARCH_12_CORAL_JAA_06_PW,X2018_MARCH_12_CORAL_JAA_06_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_06_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_06_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_06_TOTNSAF,X2018_MARCH_12_CORAL_JAA_06_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_06_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_06_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_06_ADJNSAF,X2018_MARCH_12_CORAL_JAA_07_ID,X2018_MARCH_12_CORAL_JAA_07_PW,X2018_MARCH_12_CORAL_JAA_07_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_07_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_07_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_07_TOTNSAF,X2018_MARCH_12_CORAL_JAA_07_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_07_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_07_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_07_ADJNSAF,X2018_MARCH_12_CORAL_JAA_12_ID,X2018_MARCH_12_CORAL_JAA_12_PW,X2018_MARCH_12_CORAL_JAA_12_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_12_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_12_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_12_TOTNSAF,X2018_MARCH_12_CORAL_JAA_12_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_12_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_12_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_12_ADJNSAF,X2018_MARCH_12_CORAL_JAA_13_ID,X2018_MARCH_12_CORAL_JAA_13_PW,X2018_MARCH_12_CORAL_JAA_13_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_13_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_13_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_13_TOTNSAF,X2018_MARCH_12_CORAL_JAA_13_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_13_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_13_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_13_ADJNSAF,X2018_MARCH_12_CORAL_JAA_14_ID,X2018_MARCH_12_CORAL_JAA_14_PW,X2018_MARCH_12_CORAL_JAA_14_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_14_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_14_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_14_TOTNSAF,X2018_MARCH_12_CORAL_JAA_14_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_14_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_14_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_14_ADJNSAF,X2018_MARCH_12_CORAL_JAA_20_ID,X2018_MARCH_12_CORAL_JAA_20_PW,X2018_MARCH_12_CORAL_JAA_20_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_20_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_20_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_20_TOTNSAF,X2018_MARCH_12_CORAL_JAA_20_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_20_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_20_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_20_ADJNSAF,X2018_MARCH_12_CORAL_JAA_21_ID,X2018_MARCH_12_CORAL_JAA_21_PW,X2018_MARCH_12_CORAL_JAA_21_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_21_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_21_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_21_TOTNSAF,X2018_MARCH_12_CORAL_JAA_21_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_21_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_21_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_21_ADJNSAF,X2018_MARCH_12_CORAL_JAA_22_ID,X2018_MARCH_12_CORAL_JAA_22_PW,X2018_MARCH_12_CORAL_JAA_22_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_22_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_22_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_22_TOTNSAF,X2018_MARCH_12_CORAL_JAA_22_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_22_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_22_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_22_ADJNSAF,X2018_MARCH_12_CORAL_JAA_23_ID,X2018_MARCH_12_CORAL_JAA_23_PW,X2018_MARCH_12_CORAL_JAA_23_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_23_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_23_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_23_TOTNSAF,X2018_MARCH_12_CORAL_JAA_23_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_23_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_23_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_23_ADJNSAF,X2018_MARCH_12_CORAL_JAA_25_ID,X2018_MARCH_12_CORAL_JAA_25_PW,X2018_MARCH_12_CORAL_JAA_25_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_25_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_25_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_25_TOTNSAF,X2018_MARCH_12_CORAL_JAA_25_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_25_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_25_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_25_ADJNSAF,X2018_MARCH_12_CORAL_JAA_27_ID,X2018_MARCH_12_CORAL_JAA_27_PW,X2018_MARCH_12_CORAL_JAA_27_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_27_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_27_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_27_TOTNSAF,X2018_MARCH_12_CORAL_JAA_27_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_27_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_27_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_27_ADJNSAF,X2018_MARCH_12_CORAL_JAA_29_ID,X2018_MARCH_12_CORAL_JAA_29_PW,X2018_MARCH_12_CORAL_JAA_29_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_29_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_29_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_29_TOTNSAF,X2018_MARCH_12_CORAL_JAA_29_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_29_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_29_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_29_ADJNSAF,X2018_MARCH_22_JPG_CORAL_08_ID,X2018_MARCH_22_JPG_CORAL_08_PW,X2018_MARCH_22_JPG_CORAL_08_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_08_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_08_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_08_TOTNSAF,X2018_MARCH_22_JPG_CORAL_08_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_08_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_08_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_08_ADJNSAF,X2018_MARCH_22_JPG_CORAL_10_ID,X2018_MARCH_22_JPG_CORAL_10_PW,X2018_MARCH_22_JPG_CORAL_10_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_10_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_10_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_10_TOTNSAF,X2018_MARCH_22_JPG_CORAL_10_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_10_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_10_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_10_ADJNSAF,X2018_MARCH_22_JPG_CORAL_14_ID,X2018_MARCH_22_JPG_CORAL_14_PW,X2018_MARCH_22_JPG_CORAL_14_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_14_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_14_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_14_TOTNSAF,X2018_MARCH_22_JPG_CORAL_14_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_14_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_14_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_14_ADJNSAF,X2018_MARCH_22_JPG_CORAL_15_ID,X2018_MARCH_22_JPG_CORAL_15_PW,X2018_MARCH_22_JPG_CORAL_15_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_15_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_15_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_15_TOTNSAF,X2018_MARCH_22_JPG_CORAL_15_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_15_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_15_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_15_ADJNSAF,X2018_MARCH_22_JPG_CORAL_16_ID,X2018_MARCH_22_JPG_CORAL_16_PW,X2018_MARCH_22_JPG_CORAL_16_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_16_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_16_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_16_TOTNSAF,X2018_MARCH_22_JPG_CORAL_16_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_16_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_16_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_16_ADJNSAF,X2018_MARCH_22_JPG_CORAL_18_ID,X2018_MARCH_22_JPG_CORAL_18_PW,X2018_MARCH_22_JPG_CORAL_18_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_18_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_18_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_18_TOTNSAF,X2018_MARCH_22_JPG_CORAL_18_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_18_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_18_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_18_ADJNSAF
lcl|c143056_g1_i1|m.250,150,1,lcl c143056_g1_i1 g.250  ORF lcl c143056_g1_i1 g.250 lcl c143056_g1_i1 m.250 type:3prime_partial len:151 (+) lcl c143056_g1_i1:100-549(+),5,1-a,1,1,1,0.999,1,0.999,6,6,8,8,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1-a,1,3,3,4,76.6899,4,83.7453,4,84.6768,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,789-a,0.9719,1,1,1,21.6119,1,23.6606,1,24.1856,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c182463_g1_i1|m.663,145,1,lcl c182463_g1_i1 g.663  ORF lcl c182463_g1_i1 g.663 lcl c182463_g1_i1 m.663 type:complete len:145 (+) lcl c182463_g1_i1:115-549(+),38,10-a,1,1,1,0.999,1,0.999,7,7,69,69,1000-a,0.9751,1,1,1,21.0166,1,23.7883,1,23.42,840-a,0.97,1,1,1,22.8538,1,25.3521,1,25.355,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1174-a,0.3451,1,1,1,18.9126,1,21.5031,1,20.9014,879-a,0.9831,1,1,1,21.5701,1,23.4307,1,24.2489,1011-a,0.922,1,1,1,22.2936,1,24.4817,1,24.8781,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,583-a,0.9996,2,2,2,48.8448,2,53.659,2,55.2017,4-a,1,3,3,3,67.0715,3,73.4294,3,75.0587,4-a,1,2,2,2,48.2024,2,53.3826,2,55.7226,5-a,1,3,3,4,94.0257,4,103.7954,4,106.3639,532-a,0.9999,2,2,2,49.7296,2,54.5742,2,55.4138,null,0,0,0,0,0,0,0,0,0,552-a,0.9915,1,1,1,28.4115,1,33.4045,1,32.5488,3-a,1,2,2,2,59.0362,2,70.9381,2,68.7176,null,0,0,0,0,0,0,0,0,0,667-a,0.9882,1,1,1,28.555,1,31.4142,1,32.6059
lcl|c211604_g1_i1|m.2470,229,1,lcl c211604_g1_i1 g.2470  ORF lcl c211604_g1_i1 g.2470 lcl c211604_g1_i1 m.2470 type:complete len:229 (+) lcl c211604_g1_i1:32-718(+),12,100-a,1,1,1,0.999,1,0.999,5,5,13,13,794-a,0.989,1,1,1,13.3074,1,15.0624,1,14.8292,null,0,0,0,0,0,0,0,0,0,1259-a,0,1,1,1,14.7017,1,16.0547,1,16.1076,null,0,0,0,0,0,0,0,0,0,38-a,1,2,2,2,23.9505,2,27.231,2,26.469,null,0,0,0,0,0,0,0,0,0,1023-a,0.9087,1,1,1,14.116,1,15.5015,1,15.7525,975-a,0.9323,1,1,1,12.5584,1,13.7137,1,13.8663,693-a,0.9812,1,1,1,20.334,1,21.9272,1,22.2472,791-a,0.9874,1,1,1,12.9447,1,13.9782,1,14.2005,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c242089_g1_i1|m.29373,335,1,lcl c242089_g1_i1 g.29373  ORF lcl c242089_g1_i1 g.29373 lcl c242089_g1_i1 m.29373 type:5prime_partial len:335 (+) lcl c242089_g1_i1:3-1007(+),57,1000-a,1,1,1,0.999,1,0.999,21,21,327,327,464-a,1,8,8,8,72.7737,8,82.3713,8,81.096,372-a,1,6,6,7,69.2435,7,76.8132,7,76.8219,420-a,1,7,7,7,70.3488,7,76.8231,7,77.0761,396-a,1,8,8,9,78.7441,9,86.9913,9,87.098,440-a,1,7,7,9,73.6746,9,83.7657,9,81.4218,419-a,1,4,4,4,37.3453,4,40.5665,4,41.9832,410-a,1,5,5,6,57.8967,6,63.5794,6,64.6089,427-a,1,5,5,7,60.0928,7,65.6213,7,66.3512,299-a,1,4,4,5,69.4999,5,74.9453,5,76.039,446-a,1,3,3,4,35.395,4,38.2211,4,38.8288,359-a,1,4,4,5,52.8545,5,58.0638,5,59.7331,346-a,1,4,4,5,48.3849,5,52.9715,5,54.1468,316-a,1,5,5,6,62.5911,6,69.3177,6,72.3562,335-a,1,3,3,3,30.5233,3,33.6948,3,34.5286,339-a,1,6,6,6,64.5743,6,70.865,6,71.9552,299-a,1,7,7,7,78.1465,7,85.6082,7,87.0052,297-a,1,4,4,4,49.1901,4,57.8347,4,56.3532,274-a,1,5,5,6,76.659,6,92.1136,6,89.2303,362-a,1,5,5,5,57.827,5,68.7658,5,66.9463,303-a,1,5,5,7,86.5174,7,95.1802,7,98.7911
lcl|c242138_g5_i6|m.29443,1858,1,lcl c242138_g5_i6 g.29443  ORF lcl c242138_g5_i6 g.29443 lcl c242138_g5_i6 m.29443 type:3prime_partial len:1859 (+) lcl c242138_g5_i6:634-6207(+),9,1001-a,0.9997,1,1,0.991,1,0.991,4,4,15,15,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,760-a,0.9978,3,3,3,4.4279,3,5.0344,3,4.8935,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1093-a,0.4412,1,1,1,1.5478,1,1.6902,1,1.709,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c242139_g4_i2|m.29446,236,1,lcl c242139_g4_i2 g.29446  ORF lcl c242139_g4_i2 g.29446 lcl c242139_g4_i2 m.29446 type:complete len:236 (+) lcl c242139_g4_i2:183-890(+),53,1002-a,1,1,1,0.999,1,0.999,19,19,159,159,465-a,1,4,4,4,51.6509,4,58.4627,4,57.5575,373-a,1,2,2,4,56.1661,4,62.3061,4,62.3132,690-a,0.9998,2,2,2,28.5313,2,31.1571,2,31.2597,397-a,1,3,3,3,37.2589,3,41.1611,3,41.2116,441-a,1,2,2,2,23.2401,2,26.4233,2,25.6839,420-a,1,3,3,3,39.7585,3,43.1879,3,44.6961,825-a,0.9897,1,1,1,13.6973,1,15.0417,1,15.2853,428-a,1,5,5,6,73.1154,6,79.8419,6,80.73,300-a,1,5,5,5,98.6546,5,106.3842,5,107.9367,447-a,1,3,3,4,50.2429,4,54.2545,4,55.1171,360-a,1,2,2,2,30.0106,2,32.9684,2,33.9163,681-a,0.99,1,1,1,13.7364,1,15.0385,1,15.3722,317-a,1,3,3,4,59.2317,4,65.5973,4,68.4727,970-a,0.341,1,1,1,14.4425,1,15.9432,1,16.3377,340-a,1,3,3,3,45.8313,3,50.2961,3,51.0699,null,0,0,0,0,0,0,0,0,0,298-a,1,2,2,2,34.9125,2,41.0479,2,39.9964,275-a,1,3,3,3,54.4084,3,65.3772,3,63.3308,723-a,0.9914,1,1,1,16.417,1,19.5225,1,19.0059,304-a,1,2,2,2,35.0888,2,38.6021,2,40.0666
lcl|c242185_g2_i2|m.29491,1452,1,lcl c242185_g2_i2 g.29491  ORF lcl c242185_g2_i2 g.29491 lcl c242185_g2_i2 m.29491 type:5prime_partial len:1452 (+) lcl c242185_g2_i2:3-4358(+),26,1003-a,1,1,1,0.999,1,0.999,14,14,50,50,1251-a,0.203,1,1,1,2.0988,1,2.3755,1,2.3388,374-a,1,3,3,3,6.8467,3,7.5952,3,7.596,421-a,1,3,3,3,6.956,3,7.5961,3,7.6212,398-a,1,2,2,2,4.0372,2,4.4601,2,4.4655,959-a,0.9791,1,1,1,1.8887,1,2.1473,1,2.0873,421-a,1,2,2,2,4.3081,2,4.6797,2,4.8431,411-a,1,3,3,3,6.6789,3,7.3344,3,7.4532,911-a,0.9743,1,1,1,1.9806,1,2.1628,1,2.1869,473-a,0.9999,2,2,2,6.4139,2,6.9164,2,7.0174,null,0,0,0,0,0,0,0,0,0,361-a,1,6,6,6,14.6333,6,16.0755,6,16.5377,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,814-a,0.9287,1,1,1,2.3474,1,2.5913,1,2.6554,969-a,0.3719,1,1,1,2.4831,1,2.7249,1,2.7669,688-a,0.9884,1,1,1,2.5757,1,2.8216,1,2.8676,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,363-a,1,6,6,6,16.0099,6,19.0385,6,18.5347,null,0,0,0,0,0,0,0,0,0
lcl|c242193_g2_i1|m.29501,772,1,lcl c242193_g2_i1 g.29501  ORF lcl c242193_g2_i1 g.29501 lcl c242193_g2_i1 m.29501 type:complete len:772 (+) lcl c242193_g2_i1:1372-3687(+),58,1004-a,1,1,1,0.999,1,0.999,89,87,1077,990,688-a,1,27,26,35,138.1594,33,147.444,35,153.9589,578-a,1,29,28,35,150.2369,33,157.1373,35,166.6796,649-a,1,29,28,33,143.913,32,152.3953,33,157.6751,608-a,1,28,27,34,129.0869,33,138.4123,34,142.7816,689-a,1,37,36,43,152.7466,41,165.5903,43,168.8084,623-a,1,27,26,30,121.5416,28,123.2234,30,136.6358,640-a,1,28,27,36,150.7415,34,156.3406,35,163.5448,660-a,1,40,39,44,163.9097,42,170.8534,44,180.9803,446-a,1,23,23,25,150.7932,25,162.608,25,164.981,696-a,1,30,29,35,134.3932,33,136.831,35,147.4312,551-a,1,9,8,9,41.284,8,40.3137,9,46.6568,524-a,1,9,8,9,37.7929,8,36.7781,9,42.2934,499-a,1,12,12,13,58.8481,13,65.1724,13,68.0292,523-a,1,8,7,9,39.7356,7,34.1167,9,44.9498,526-a,1,6,5,6,28.0212,5,25.6258,6,31.2241,476-a,1,9,8,9,43.5995,8,42.4556,9,48.5419,299-a,1,6,6,6,32.0182,6,37.645,6,36.6807,430-a,1,5,5,6,33.2652,6,39.9716,6,38.7204,541-a,1,7,6,7,35.1306,6,35.8081,7,40.6707,470-a,1,9,9,9,48.2698,9,53.1029,9,55.1175
lcl|c242257_g2_i2|m.29551,1083,1,lcl c242257_g2_i2 g.29551  ORF lcl c242257_g2_i2 g.29551 lcl c242257_g2_i2 m.29551 type:complete len:1083 (+) lcl c242257_g2_i2:1964-5212(+),32,1005-a,1,1,1,0.999,1,0.999,18,18,54,54,779-a,0.9955,1,1,1,2.8139,1,3.1849,1,3.1356,979-a,0.718,1,1,1,3.0598,1,3.3943,1,3.3947,422-a,1,2,2,2,6.2173,2,6.7895,2,6.8119,805-a,0.9871,1,1,1,2.7064,1,2.9899,1,2.9935,442-a,1,5,5,5,12.6608,5,14.3949,5,13.9921,422-a,1,2,2,2,5.7759,2,6.2741,2,6.4932,null,0,0,0,0,0,0,0,0,0,1045-a,0.7097,1,1,1,2.6555,1,2.8998,1,2.932,null,0,0,0,0,0,0,0,0,0,448-a,1,4,4,4,10.9486,4,11.8228,4,12.0107,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,678-a,0.9903,1,1,1,3.1472,1,3.4742,1,3.5602,587-a,0.9968,1,1,1,3.3291,1,3.6534,1,3.7096,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,467-a,0.9997,2,2,2,7.9042,2,9.4977,2,9.2004,null,0,0,0,0,0,0,0,0,0,614-a,0.9915,1,1,1,3.8232,1,4.206,1,4.3655
lcl|c242362_g2_i1|m.29700,2899,1,lcl c242362_g2_i1 g.29700  ORF lcl c242362_g2_i1 g.29700 lcl c242362_g2_i1 m.29700 type:complete len:2899 (+) lcl c242362_g2_i1:1584-10280(+),57,1006-a,1,1,1,0.999,1,0.999,59,59,314,314,466-a,1,3,3,3,3.1536,3,3.5695,3,3.5142,375-a,1,4,4,4,4.5723,4,5.0722,4,5.0728,423-a,1,9,9,9,10.452,9,11.4139,9,11.4515,399-a,1,6,6,7,7.0773,7,7.8186,7,7.8282,443-a,1,4,4,4,3.7838,4,4.3021,4,4.1817,423-a,1,5,5,5,5.3944,5,5.8597,5,6.0643,412-a,1,9,9,9,10.0356,9,11.0206,9,11.199,429-a,1,4,4,5,4.9601,5,5.4164,5,5.4767,301-a,1,3,3,3,4.8187,3,5.1963,3,5.2721,449-a,1,5,5,5,5.1127,5,5.5209,5,5.6087,362-a,1,8,8,8,9.7723,8,10.7355,8,11.0441,347-a,1,7,7,7,7.8277,7,8.5697,7,8.7599,318-a,1,3,3,3,3.6164,3,4.0051,3,4.1806,336-a,1,2,2,2,2.3515,2,2.5958,2,2.66,341-a,1,6,6,6,7.462,6,8.1889,6,8.3149,300-a,1,9,9,9,11.6105,9,12.7191,9,12.9267,300-a,1,7,7,7,9.9475,7,11.6956,7,11.396,276-a,1,4,4,4,5.9057,4,7.0963,4,6.8741,364-a,1,7,7,7,9.3552,7,11.1249,7,10.8306,305-a,1,2,2,2,2.8565,2,3.1425,2,3.2617
