PROTID,PROTLEN,ISFWD,DEFLINE,NUMXML,ALL_ID,MAXPW,ALL_PW,ALL_LOCALPW,MAXINIPROB,WT_MAXINIPROB,MAXINIPROBUNIQ,ALL_NUMPEPSTOT,ALL_NUMPEPSUNIQ,ALL_NUMSPECSTOT,ALL_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_01_ID,X2018_MARCH_12_CORAL_JAA_01_PW,X2018_MARCH_12_CORAL_JAA_01_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_01_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_01_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_01_TOTNSAF,X2018_MARCH_12_CORAL_JAA_01_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_01_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_01_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_01_ADJNSAF,X2018_MARCH_12_CORAL_JAA_03_ID,X2018_MARCH_12_CORAL_JAA_03_PW,X2018_MARCH_12_CORAL_JAA_03_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_03_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_03_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_03_TOTNSAF,X2018_MARCH_12_CORAL_JAA_03_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_03_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_03_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_03_ADJNSAF,X2018_MARCH_12_CORAL_JAA_08_ID,X2018_MARCH_12_CORAL_JAA_08_PW,X2018_MARCH_12_CORAL_JAA_08_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_08_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_08_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_08_TOTNSAF,X2018_MARCH_12_CORAL_JAA_08_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_08_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_08_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_08_ADJNSAF,X2018_MARCH_12_CORAL_JAA_09_ID,X2018_MARCH_12_CORAL_JAA_09_PW,X2018_MARCH_12_CORAL_JAA_09_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_09_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_09_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_09_TOTNSAF,X2018_MARCH_12_CORAL_JAA_09_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_09_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_09_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_09_ADJNSAF,X2018_MARCH_12_CORAL_JAA_10_ID,X2018_MARCH_12_CORAL_JAA_10_PW,X2018_MARCH_12_CORAL_JAA_10_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_10_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_10_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_10_TOTNSAF,X2018_MARCH_12_CORAL_JAA_10_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_10_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_10_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_10_ADJNSAF,X2018_MARCH_12_CORAL_JAA_11_ID,X2018_MARCH_12_CORAL_JAA_11_PW,X2018_MARCH_12_CORAL_JAA_11_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_11_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_11_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_11_TOTNSAF,X2018_MARCH_12_CORAL_JAA_11_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_11_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_11_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_11_ADJNSAF,X2018_MARCH_12_CORAL_JAA_15_ID,X2018_MARCH_12_CORAL_JAA_15_PW,X2018_MARCH_12_CORAL_JAA_15_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_15_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_15_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_15_TOTNSAF,X2018_MARCH_12_CORAL_JAA_15_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_15_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_15_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_15_ADJNSAF,X2018_MARCH_12_CORAL_JAA_16_ID,X2018_MARCH_12_CORAL_JAA_16_PW,X2018_MARCH_12_CORAL_JAA_16_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_16_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_16_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_16_TOTNSAF,X2018_MARCH_12_CORAL_JAA_16_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_16_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_16_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_16_ADJNSAF,X2018_MARCH_12_CORAL_JAA_17_ID,X2018_MARCH_12_CORAL_JAA_17_PW,X2018_MARCH_12_CORAL_JAA_17_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_17_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_17_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_17_TOTNSAF,X2018_MARCH_12_CORAL_JAA_17_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_17_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_17_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_17_ADJNSAF,X2018_MARCH_12_CORAL_JAA_19_ID,X2018_MARCH_12_CORAL_JAA_19_PW,X2018_MARCH_12_CORAL_JAA_19_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_19_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_19_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_19_TOTNSAF,X2018_MARCH_12_CORAL_JAA_19_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_19_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_19_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_19_ADJNSAF,X2018_MARCH_12_CORAL_JAA_24_ID,X2018_MARCH_12_CORAL_JAA_24_PW,X2018_MARCH_12_CORAL_JAA_24_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_24_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_24_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_24_TOTNSAF,X2018_MARCH_12_CORAL_JAA_24_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_24_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_24_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_24_ADJNSAF,X2018_MARCH_12_CORAL_JAA_26_ID,X2018_MARCH_12_CORAL_JAA_26_PW,X2018_MARCH_12_CORAL_JAA_26_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_26_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_26_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_26_TOTNSAF,X2018_MARCH_12_CORAL_JAA_26_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_26_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_26_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_26_ADJNSAF,X2018_MARCH_12_CORAL_JAA_30_ID,X2018_MARCH_12_CORAL_JAA_30_PW,X2018_MARCH_12_CORAL_JAA_30_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_30_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_30_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_30_TOTNSAF,X2018_MARCH_12_CORAL_JAA_30_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_30_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_30_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_30_ADJNSAF,X2018_MARCH_12_CORAL_JAA_31_ID,X2018_MARCH_12_CORAL_JAA_31_PW,X2018_MARCH_12_CORAL_JAA_31_NUMPEPSTOT,X2018_MARCH_12_CORAL_JAA_31_NUMPEPSUNIQ,X2018_MARCH_12_CORAL_JAA_31_NUMSPECSTOT,X2018_MARCH_12_CORAL_JAA_31_TOTNSAF,X2018_MARCH_12_CORAL_JAA_31_NUMSPECSUNIQ,X2018_MARCH_12_CORAL_JAA_31_UNIQNSAF,X2018_MARCH_12_CORAL_JAA_31_NUMSPECSADJ,X2018_MARCH_12_CORAL_JAA_31_ADJNSAF,X2018_MARCH_22_JPG_CORAL_05_ID,X2018_MARCH_22_JPG_CORAL_05_PW,X2018_MARCH_22_JPG_CORAL_05_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_05_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_05_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_05_TOTNSAF,X2018_MARCH_22_JPG_CORAL_05_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_05_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_05_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_05_ADJNSAF,X2018_MARCH_22_JPG_CORAL_06_ID,X2018_MARCH_22_JPG_CORAL_06_PW,X2018_MARCH_22_JPG_CORAL_06_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_06_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_06_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_06_TOTNSAF,X2018_MARCH_22_JPG_CORAL_06_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_06_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_06_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_06_ADJNSAF,X2018_MARCH_22_JPG_CORAL_07_ID,X2018_MARCH_22_JPG_CORAL_07_PW,X2018_MARCH_22_JPG_CORAL_07_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_07_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_07_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_07_TOTNSAF,X2018_MARCH_22_JPG_CORAL_07_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_07_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_07_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_07_ADJNSAF,X2018_MARCH_22_JPG_CORAL_09_ID,X2018_MARCH_22_JPG_CORAL_09_PW,X2018_MARCH_22_JPG_CORAL_09_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_09_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_09_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_09_TOTNSAF,X2018_MARCH_22_JPG_CORAL_09_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_09_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_09_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_09_ADJNSAF,X2018_MARCH_22_JPG_CORAL_17_ID,X2018_MARCH_22_JPG_CORAL_17_PW,X2018_MARCH_22_JPG_CORAL_17_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_17_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_17_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_17_TOTNSAF,X2018_MARCH_22_JPG_CORAL_17_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_17_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_17_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_17_ADJNSAF,X2018_MARCH_22_JPG_CORAL_19_ID,X2018_MARCH_22_JPG_CORAL_19_PW,X2018_MARCH_22_JPG_CORAL_19_NUMPEPSTOT,X2018_MARCH_22_JPG_CORAL_19_NUMPEPSUNIQ,X2018_MARCH_22_JPG_CORAL_19_NUMSPECSTOT,X2018_MARCH_22_JPG_CORAL_19_TOTNSAF,X2018_MARCH_22_JPG_CORAL_19_NUMSPECSUNIQ,X2018_MARCH_22_JPG_CORAL_19_UNIQNSAF,X2018_MARCH_22_JPG_CORAL_19_NUMSPECSADJ,X2018_MARCH_22_JPG_CORAL_19_ADJNSAF
lcl|c143056_g1_i1|m.250,150,1,lcl c143056_g1_i1 g.250  ORF lcl c143056_g1_i1 g.250 lcl c143056_g1_i1 m.250 type:3prime_partial len:151 (+) lcl c143056_g1_i1:100-549(+),5,1-a,1,1,1,0.999,1,0.999,6,6,8,8,1286-a,0,1,1,1,22.5313,1,24.3816,1,24.3233,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,914-a,0.9846,1,1,1,19.9488,1,21.8761,1,22.1751,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,885-a,0.6863,1,1,1,21.3641,1,23.3152,1,23.6884,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c182463_g1_i1|m.663,145,1,lcl c182463_g1_i1 g.663  ORF lcl c182463_g1_i1 g.663 lcl c182463_g1_i1 m.663 type:complete len:145 (+) lcl c182463_g1_i1:115-549(+),38,10-a,1,1,1,0.999,1,0.999,7,7,69,69,null,0,0,0,0,0,0,0,0,0,6-a,1,2,2,2,35.9756,2,38.8623,2,39.0283,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,3-a,1,2,2,2,41.2733,2,45.2608,2,45.8794,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,614-a,0.9911,1,1,1,23.1058,1,27.7602,1,26.887,5-a,1,2,2,2,38.9265,2,42.7387,2,43.7965,4-a,1,4,4,4,88.4033,4,96.4768,4,98.0209,1060-a,0.225,1,1,1,26.4716,1,31.3383,1,30.5912,4-a,1,2,2,2,53.0725,2,58.1702,2,61.3468,2-a,1,4,4,4,109.4008,4,120.5729,4,123.2314,762-a,0.9854,1,1,1,24.4128,1,27.0282,1,27.3272,617-a,0.9921,1,1,1,26.2723,1,29.0561,1,29.7833,861-a,0.9909,1,1,1,23.8946,1,27.7124,1,27.1673,4-a,1,3,3,3,70.4762,3,76.7283,3,78.3687
lcl|c211604_g1_i1|m.2470,229,1,lcl c211604_g1_i1 g.2470  ORF lcl c211604_g1_i1 g.2470 lcl c211604_g1_i1 m.2470 type:complete len:229 (+) lcl c211604_g1_i1:32-718(+),12,100-a,1,1,1,0.999,1,0.999,5,5,13,13,1109-a,0.9143,1,1,1,14.7585,1,15.9705,1,15.9323,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,985-a,0.8906,1,1,1,14.907,1,16.517,1,16.4867,826-a,0.9882,1,1,1,11.535,1,12.6141,1,12.5145,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1024-a,0.9804,1,1,1,12.3834,1,13.4789,1,13.6868,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c242089_g1_i1|m.29373,335,1,lcl c242089_g1_i1 g.29373  ORF lcl c242089_g1_i1 g.29373 lcl c242089_g1_i1 m.29373 type:5prime_partial len:335 (+) lcl c242089_g1_i1:3-1007(+),57,1000-a,1,1,1,0.999,1,0.999,21,21,327,327,469-a,1,4,4,5,50.4431,5,54.5857,5,54.4551,481-a,1,5,5,8,62.2862,8,67.2839,8,67.5714,483-a,1,7,7,9,65.9219,9,70.9107,9,71.2857,526-a,1,6,6,6,47.0951,6,51.558,6,51.8262,469-a,1,7,7,8,67.991,8,78.7667,8,76.9158,380-a,1,4,4,6,61.141,6,67.7445,6,67.6199,485-a,1,6,6,7,55.1958,7,60.3596,7,59.883,427-a,1,6,6,7,62.526,7,68.5667,7,69.5039,517-a,1,9,9,9,73.2462,9,79.294,9,80.035,461-a,1,10,10,12,101.5805,12,110.5668,12,112.2723,342-a,1,8,8,11,110.011,11,132.1719,11,128.0142,443-a,1,6,6,8,67.3952,8,73.9954,8,75.8267,335-a,1,3,3,4,38.2641,4,41.7586,4,42.427,320-a,1,5,5,6,68.7471,6,81.3861,6,79.4458,289-a,1,3,3,4,45.9434,4,50.3563,4,53.1062,362-a,1,5,5,5,59.1907,5,65.2354,5,66.6737,353-a,1,5,5,6,63.4003,6,70.1926,6,70.969,338-a,1,8,8,10,113.7157,10,125.7653,10,128.913,407-a,1,5,5,6,62.0547,6,71.9695,6,70.554,346-a,1,4,4,4,40.6728,4,44.281,4,45.2277
lcl|c242138_g5_i6|m.29443,1858,1,lcl c242138_g5_i6 g.29443  ORF lcl c242138_g5_i6 g.29443 lcl c242138_g5_i6 m.29443 type:3prime_partial len:1859 (+) lcl c242138_g5_i6:634-6207(+),9,1001-a,0.9997,1,1,0.991,1,0.991,4,4,15,15,null,0,0,0,0,0,0,0,0,0,1283-a,0.2346,1,1,1,1.4038,1,1.5164,1,1.5229,820-a,0.9997,2,2,3,3.9619,3,4.2618,3,4.2843,null,0,0,0,0,0,0,0,0,0,1914-a,0,1,1,1,1.5324,1,1.7752,1,1.7335,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1130-a,0.5055,1,1,1,1.6105,1,1.7661,1,1.7902,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1813-a,0,1,1,1,1.7248,1,1.8823,1,1.9124,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c242139_g4_i2|m.29446,236,1,lcl c242139_g4_i2 g.29446  ORF lcl c242139_g4_i2 g.29446 lcl c242139_g4_i2 m.29446 type:complete len:236 (+) lcl c242139_g4_i2:183-890(+),53,1002-a,1,1,1,0.999,1,0.999,19,19,159,159,470-a,1,6,6,6,85.9243,6,92.9807,6,92.7582,482-a,1,6,6,6,66.311,6,71.6317,6,71.9378,484-a,1,3,3,4,41.5891,4,44.7365,4,44.9731,527-a,1,3,3,3,33.4255,3,36.593,3,36.7834,470-a,1,4,4,4,48.2563,4,55.9044,4,54.5907,381-a,1,2,2,3,43.3945,3,48.0814,3,47.993,486-a,1,7,7,8,89.5428,8,97.9199,8,97.1468,428-a,1,3,3,3,38.0379,3,41.7128,3,42.283,518-a,1,6,6,6,69.3149,6,75.0381,6,75.7393,462-a,1,5,5,6,72.0964,6,78.4743,6,79.6848,343-a,1,2,2,3,42.589,3,51.1682,3,49.5586,841-a,0.9882,1,1,1,11.9584,1,13.1295,1,13.4544,336-a,1,3,3,3,40.7367,3,44.457,3,45.1685,321-a,1,4,4,4,65.0573,4,77.0179,4,75.1818,622-a,0.9914,1,1,1,16.3041,1,17.8701,1,18.846,null,0,0,0,0,0,0,0,0,0,354-a,1,2,2,2,29.9987,2,33.2126,2,33.58,339-a,1,2,2,2,32.2837,2,35.7046,2,36.5982,408-a,1,5,5,5,73.4051,5,85.1334,5,83.459,347-a,1,3,3,3,43.301,3,47.1424,3,48.1503
lcl|c242185_g2_i2|m.29491,1452,1,lcl c242185_g2_i2 g.29491  ORF lcl c242185_g2_i2 g.29491 lcl c242185_g2_i2 m.29491 type:5prime_partial len:1452 (+) lcl c242185_g2_i2:3-4358(+),26,1003-a,1,1,1,0.999,1,0.999,14,14,50,50,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1156-a,0.906,1,1,1,1.9608,1,2.2716,1,2.2182,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,1044-a,0.9761,1,1,1,1.953,1,2.1258,1,2.1586,705-a,0.9911,1,1,1,2.3074,1,2.7722,1,2.685,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,363-a,1,2,2,2,5.4625,2,6.0203,2,6.1531,810-a,0.9735,1,1,1,2.4379,1,2.6991,1,2.729,929-a,0.821,1,1,1,2.6236,1,2.9016,1,2.9742,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c242193_g2_i1|m.29501,772,1,lcl c242193_g2_i1 g.29501  ORF lcl c242193_g2_i1 g.29501 lcl c242193_g2_i1 m.29501 type:complete len:772 (+) lcl c242193_g2_i1:1372-3687(+),58,1004-a,1,1,1,0.999,1,0.999,89,87,1077,990,712-a,1,23,22,26,113.8237,25,118.434,26,122.8766,748-a,1,31,30,35,118.2489,33,120.4378,35,128.2828,768-a,1,36,35,43,136.673,41,140.1783,43,147.7936,788-a,1,34,33,45,153.2725,43,160.3395,45,168.6701,733-a,1,23,22,29,106.9516,27,115.357,29,120.9905,590-a,1,17,16,19,84.016,17,83.2912,19,92.919,733-a,1,30,29,38,130.0227,36,134.7032,38,141.0642,654-a,1,27,26,31,120.1577,29,123.2653,31,133.5674,797-a,1,26,25,38,134.2003,36,137.6347,38,146.6387,696-a,1,27,25,35,128.5656,31,123.9461,35,142.0976,526-a,1,9,9,13,56.4176,13,67.7824,13,65.6502,666-a,1,15,14,17,62.1463,15,60.2051,17,69.9212,520-a,1,6,5,6,24.9064,5,22.6508,6,27.616,502-a,1,8,8,9,44.748,9,52.9747,9,51.7118,447-a,1,11,11,12,59.8097,12,65.5545,12,69.1344,364-a,1,4,4,4,20.5481,4,22.6465,4,23.1458,553-a,1,15,15,15,68.7795,15,76.148,15,76.9904,518-a,1,12,12,13,64.1492,13,70.9466,13,72.7223,633-a,1,19,19,20,89.7596,20,104.1009,20,102.0535,537-a,1,10,9,10,44.1237,9,43.2342,10,49.065
lcl|c242257_g2_i2|m.29551,1083,1,lcl c242257_g2_i2 g.29551  ORF lcl c242257_g2_i2 g.29551 lcl c242257_g2_i2 m.29551 type:complete len:1083 (+) lcl c242257_g2_i2:1964-5212(+),32,1005-a,1,1,1,0.999,1,0.999,18,18,54,54,471-a,1,5,5,5,15.6034,5,16.8848,5,16.8444,483-a,1,2,2,2,4.8167,2,5.2032,2,5.2254,795-a,0.9999,2,2,2,4.5314,2,4.8743,2,4.9001,1029-a,0.9896,1,1,1,2.428,1,2.658,1,2.6719,1257-a,0.4833,1,1,1,2.6289,1,3.0456,1,2.974,781-a,0.9913,1,1,1,3.1521,1,3.4925,1,3.4861,487-a,1,3,3,3,7.3172,3,8.0018,3,7.9386,730-a,0.9993,2,2,2,5.526,2,6.0598,2,6.1427,519-a,1,2,2,2,5.0349,2,5.4506,2,5.5015,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,861-a,0.915,1,1,1,3.5442,1,4.1958,1,4.0958,null,0,0,0,0,0,0,0,0,0,580-a,0.9978,2,2,3,10.9855,3,12.1074,3,12.3743,698-a,0.9902,1,1,1,3.2686,1,3.6187,1,3.6588,727-a,0.9921,1,1,1,3.5175,1,3.8902,1,3.9876,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0
lcl|c242362_g2_i1|m.29700,2899,1,lcl c242362_g2_i1 g.29700  ORF lcl c242362_g2_i1 g.29700 lcl c242362_g2_i1 m.29700 type:complete len:2899 (+) lcl c242362_g2_i1:1584-10280(+),57,1006-a,1,1,1,0.999,1,0.999,59,59,314,314,472-a,1,6,6,6,6.9949,6,7.5693,6,7.5512,484-a,1,5,5,5,4.4985,5,4.8595,5,4.8802,485-a,1,5,5,5,4.2321,5,4.5524,5,4.5764,528-a,1,7,7,7,6.3492,7,6.9509,7,6.987,471-a,1,9,9,9,8.839,9,10.2398,9,9.9992,382-a,1,5,5,5,5.8877,5,6.5236,5,6.5116,488-a,1,17,17,17,15.4901,17,16.9392,17,16.8055,708-a,0.9997,2,2,2,2.0644,2,2.2638,2,2.2948,520-a,1,2,2,2,1.8809,2,2.0362,2,2.0552,463-a,1,5,5,5,4.891,5,5.3237,5,5.4058,344-a,1,8,8,8,9.2455,8,11.1079,8,10.7585,444-a,1,10,10,10,9.735,10,10.6884,10,10.9529,337-a,1,7,7,7,7.738,7,8.4446,7,8.5798,322-a,1,4,4,4,5.2961,4,6.2698,4,6.1204,290-a,1,5,5,5,6.6364,5,7.2738,5,7.671,365-a,1,6,6,6,8.2079,6,9.0461,6,9.2455,355-a,1,5,5,5,6.1053,5,6.7594,5,6.8341,340-a,1,7,7,7,9.1985,7,10.1731,7,10.4278,410-a,1,8,8,8,9.5611,8,11.0888,8,10.8707,348-a,1,5,5,5,5.875,5,6.3962,5,6.533
